"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GNB1",0,0.323028523209569,0.374,0.169,0
"SMIM1",0,-0.784252206920095,0.015,0.275,0
"PARK7",0,0.343920097013434,0.635,0.432,0
"ENO1",0,0.772812340452391,0.741,0.491,0
"CAPZB",0,0.374472258181439,0.6,0.375,0
"HP1BP3",0,0.370881490571312,0.514,0.306,0
"HNRNPR",0,0.499972708703301,0.633,0.346,0
"ID3",0,0.778963396026762,0.425,0.113,0
"RPL11",0,0.394808325204034,0.999,0.987,0
"SRSF10",0,0.578544996426671,0.624,0.323,0
"SRRM1",0,0.431165899748484,0.628,0.405,0
"SYF2",0,0.402520429604191,0.637,0.411,0
"RHCE",0,-0.576477171864856,0.007,0.175,0
"STMN1",0,1.47435450062712,0.959,0.625,0
"SH3BGRL3",0,0.336693986211369,0.904,0.771,0
"HMGN2",0,0.551184960952331,0.892,0.796,0
"NUDC",0,0.372193758372916,0.499,0.264,0
"WASF2",0,0.626992773421545,0.689,0.408,0
"DNAJC8",0,0.428582212072485,0.585,0.31,0
"YTHDF2",0,0.38088613044012,0.452,0.209,0
"SRSF4",0,0.332256175473335,0.456,0.243,0
"LAPTM5",0,1.33059216209783,0.926,0.692,0
"PTP4A2",0,0.634759504502783,0.63,0.437,0
"KHDRBS1",0,0.644250848652245,0.654,0.317,0
"EIF3I",0,0.41910033022687,0.545,0.285,0
"MARCKSL1",0,1.41481178277157,0.886,0.361,0
"RBBP4",0,0.420515149683969,0.594,0.307,0
"SFPQ",0,0.505548216040008,0.711,0.447,0
"PSMB2",0,0.36351420732554,0.486,0.255,0
"THRAP3",0,0.448632275720944,0.495,0.25,0
"MACF1",0,0.405068440026632,0.358,0.128,0
"YBX1",0,0.443498448663517,0.954,0.862,0
"SLC2A1",0,-0.809394927742688,0.076,0.3,0
"C1orf228",0,1.25184067263263,0.805,0.246,0
"RPS8",0,0.57064846620904,0.998,0.971,0
"PRDX1",0,1.33280276608938,0.845,0.471,0
"AKR1A1",0,0.445690622706754,0.459,0.19,0
"NASP",0,0.684142832721509,0.604,0.271,0
"UQCRH",0,0.367988226464575,0.757,0.575,0
"PDZK1IP1",0,-0.285727451153836,0.008,0.132,0
"TAL1",0,-0.27829990467438,0.015,0.145,0
"JUN",0,1.15273975432438,0.857,0.655,0
"NFIA",0,-0.288807909244033,0.007,0.105,0
"SERBP1",0,0.418580300344972,0.725,0.482,0
"SRSF11",0,0.488576952586555,0.674,0.408,0
"ZRANB2",0,0.318474830139663,0.437,0.227,0
"NEGR1",0,0.271002058779203,0.177,0.019,0
"ACADM",0,0.376719773902255,0.457,0.208,0
"SEP15",0,0.329454321962927,0.666,0.453,0
"RPL5",0,0.69776460654262,0.978,0.904,0
"MTF2",0,0.642081889901917,0.554,0.194,0
"TMEM56",0,-0.438558443876995,0.004,0.141,0
"PRPF38B",0,0.355068298147517,0.558,0.34,0
"CD53",0,0.5896926182366,0.716,0.433,0
"FAM46C",0,-0.453401838015087,0.019,0.256,0
"RBM8A",0,0.414673451877959,0.68,0.449,0
"HIST2H2BE",0,0.529668648209947,0.366,0.08,0
"ECM1",0,0.471485072808971,0.281,0.027,0
"ENSA",0,0.352371181811907,0.567,0.351,0
"MLLT11",0,0.488963792012402,0.323,0.063,0
"RP11-126K1.6",0,0.28592891437257,0.221,0.035,0
"SELENBP1",0,-0.774387235772839,0.013,0.285,0
"S100A10",0,-0.635419340157889,0.094,0.364,0
"S100A11",0,-0.689959019492007,0.027,0.219,0
"S100A9",0,-2.62064888853158,0.092,0.434,0
"S100A12",0,-0.827780148332344,0.015,0.122,0
"S100A8",0,-2.71944422809512,0.081,0.431,0
"S100A6",0,-1.47878067994891,0.387,0.635,0
"S100A16",0,1.11831422693584,0.383,0.023,0
"S100A13",0,0.381865550559564,0.211,0.02,0
"ILF2",0,0.564248673149645,0.614,0.304,0
"INTS3",0,0.337152005035057,0.254,0.062,0
"SLC27A3",0,0.323248916458782,0.239,0.049,0
"TPM3",0,0.670773553217943,0.787,0.504,0
"C1orf43",0,0.290536642521084,0.416,0.214,0
"PBXIP1",0,0.311459410390075,0.354,0.16,0
"ARHGEF2",0,0.291304082173901,0.286,0.098,0
"CCT3",0,0.421037023820877,0.527,0.295,0
"CD1E",0,0.867505191454172,0.147,0.018,0
"MNDA",0,-0.557536863452541,0.004,0.128,0
"IFI16",0,0.983118156758631,0.733,0.295,0
"CD48",0,-0.409169574658842,0.112,0.316,0
"FCER1G",0,-0.907523913312849,0.019,0.217,0
"RCSD1",0,1.3174483036087,0.848,0.318,0
"PRRC2C",0,0.475530136370698,0.556,0.298,0
"ARPC5",0,0.373501300949328,0.693,0.461,0
"MIR181A1HG",0,0.790764725069636,0.397,0.053,0
"NAV1",0,0.375412130705693,0.21,0.027,0
"SNRPE",0,0.452713291326131,0.648,0.397,0
"MDM4",0,0.722626428604319,0.614,0.261,0
"TMCC2",0,-0.855534204924699,0.017,0.195,0
"NUCKS1",0,0.649241523145406,0.622,0.331,0
"CD34",0,0.280261297313419,0.188,0.031,0
"SRP9",0,0.446951789424632,0.748,0.473,0
"H3F3A",0,0.642882945764624,0.992,0.896,0
"PARP1",0,0.68369969835103,0.62,0.262,0
"ARID4B",0,0.445453171462338,0.507,0.259,0
"HNRNPU",0,0.399993548502279,0.699,0.475,0
"SCCPDH",0,0.300685298370011,0.33,0.12,0
"TRIM58",0,-0.644361613968913,0.015,0.255,0
"PXDN",0,0.283739086478608,0.196,0.02,0
"RPS7",0,0.609146821155569,0.99,0.938,0
"RSAD2",0,-0.365223608295498,0.036,0.165,0
"YWHAQ",0,0.653008720552238,0.777,0.42,0
"PDIA6",0,0.691793496144458,0.646,0.298,0
"LAPTM4A",0,0.391238903003579,0.574,0.318,0
"SF3B6",0,0.31423036341791,0.599,0.387,0
"DNMT3A",0,0.295258878961039,0.259,0.072,0
"SNX17",0,0.31891682597618,0.426,0.221,0
"SRSF7",0,0.537739865931684,0.775,0.545,0
"COX7A2L",0,0.43363607067183,0.643,0.406,0
"ZFP36L2",0,0.736327482816332,0.854,0.58,0
"CALM2",0,0.348579213395692,0.917,0.76,0
"MSH6",0,0.41172256519761,0.339,0.097,0
"SPTBN1",0,0.48717431578805,0.386,0.118,0
"RTN4",0,0.620876204458259,0.653,0.332,0
"BCL11A",0,0.572478334397827,0.476,0.146,0
"CCT4",0,0.341670534976518,0.566,0.334,0
"B3GNT2",0,0.345313538849519,0.351,0.14,0
"UGP2",0,0.411217679415611,0.503,0.263,0
"ACTR2",0,0.450231869820973,0.619,0.34,0
"TIA1",0,0.375733498461259,0.391,0.152,0
"CCT7",0,0.433175618187996,0.511,0.253,0
"TMSB10",0,0.441557704646649,0.999,0.986,0
"CAPG",0,0.430139051143576,0.424,0.172,0
"VAMP5",0,0.651703395216012,0.565,0.221,0
"CD8B",0,-0.289686879624597,0.01,0.128,0
"LINC00152",0,-0.392939764354621,0.043,0.192,0
"IGKC",0,-3.57969280345975,0.314,0.682,0
"AFF3",0,0.331436558290396,0.241,0.068,0
"IL1B",0,0.341919423909862,0.241,0.074,0
"DBI",0,0.541370768566045,0.636,0.371,0
"GYPC",0,-1.22114729055572,0.34,0.681,0
"MYO7B",0,0.584744483294746,0.21,0.049,0
"MZT2B",0,0.423869188979616,0.686,0.497,0
"MZT2A",0,0.429913282828008,0.539,0.307,0
"UBXN4",0,0.443889240395116,0.539,0.264,0
"CXCR4",0,0.625269045073975,0.882,0.686,0
