"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AGRN",0,0.293724407956856,0.196,0.018,0
"AURKAIP1",0,1.19300160579362,0.759,0.433,0
"MRPL20",0,1.06202044726134,0.745,0.464,0
"ANKRD65",0,0.830886075790275,0.455,0.02,0
"ATAD3A",0,0.372317219341174,0.247,0.053,0
"SSU72",0,0.929174433380834,0.722,0.454,0
"MIB2",0,1.1101165432542,0.579,0.115,0
"TP73",0,0.326701099305182,0.214,0.028,0
"RPL22",0,1.71692251524315,0.991,0.974,0
"ACOT7",0,0.422104435128346,0.283,0.069,0
"CAMTA1",0,0.938831840371967,0.586,0.238,0
"CTNNBIP1",0,0.511092654107295,0.334,0.09,0
"PGD",0,0.629081579676775,0.386,0.105,0
"CENPS",0,0.338507186383354,0.212,0.035,0
"SRM",0,0.671010285809207,0.445,0.162,0
"DHRS3",0,0.530360457005956,0.315,0.044,0
"RCC2",0,0.514483700647302,0.37,0.122,0
"HSPG2",0,0.457025264210236,0.27,0.026,0
"TCEA3",0,0.302995275964276,0.19,0.013,0
"STMN1",0,1.39355350444984,0.735,0.268,0
"ZNF593",0,0.627945019811247,0.414,0.144,0
"CD52",0,-1.88649680441337,0.518,0.898,0
"SFN",0,2.13871323256076,0.674,0.058,0
"WASF2",0,1.17013214570922,0.702,0.39,0
"RCC1",0,0.36177147489723,0.233,0.048,0
"LAPTM5",0,-1.3878395338289,0.322,0.814,0
"SERINC2",0,0.311522685421048,0.121,0.013,0
"TINAGL1",0,0.567658708092579,0.281,0.013,0
"COL16A1",0,0.454873955638785,0.252,0.012,0
"CCDC28B",0,0.997730804997649,0.377,0.078,0
"MARCKSL1",0,1.59352927628546,0.756,0.329,0
"RBBP4",0,0.912987877989101,0.713,0.325,0
"SYNC",0,0.460306752230632,0.377,0.106,0
"KIAA1522",0,0.670930408209029,0.409,0.019,0
"TMEM54",0,0.791264744576124,0.397,0.016,0
"AK2",0,0.968656320344635,0.572,0.223,0
"GJB5",0,0.690237414166277,0.405,0.012,0
"GJB3",0,0.693283016381859,0.392,0.012,0
"PSMB2",0,1.18600163781099,0.743,0.386,0
"TRAPPC3",0,0.740288788464049,0.572,0.249,0
"MRPS15",0,1.03030235768585,0.616,0.215,0
"GNL2",0,0.481614880552307,0.355,0.114,0
"C1orf122",0,0.522407939919764,0.418,0.139,0
"UTP11",0,0.587719373766516,0.446,0.141,0
"RHBDL2",0,0.269054924802818,0.172,0.006,0
"NDUFS5",0,2.01216363371765,0.945,0.69,0
"PABPC4",0,0.824797328243873,0.608,0.239,0
"TRIT1",0,0.281397795279332,0.216,0.042,0
"COL9A2",0,0.306497838156921,0.216,0.038,0
"YBX1",0,2.21234926236938,0.979,0.862,0
"EBNA1BP2",0,0.920285135809842,0.534,0.155,0
"CDC20",0,0.387274262418242,0.174,0.029,0
"HYI",0,0.466034214239741,0.264,0.04,0
"PTPRF",0,1.34270341010116,0.649,0.047,0
"B4GALT2",0,0.259496070325619,0.169,0.01,0
"CCDC24",0,0.295506249057604,0.155,0.01,0
"ERI3",0,0.589492073809717,0.391,0.098,0
"RPS8",0,2.22197472014116,0.999,0.996,0
"PRDX1",0,1.12344245955842,0.844,0.59,0
"AKR1A1",0,0.769294760138319,0.6,0.301,0
"TMEM69",0,0.447845907528131,0.35,0.089,0
"PIK3R3",0,0.341784339992888,0.23,0.032,0
"POMGNT1",0,0.431368507807865,0.316,0.066,0
"LRRC41",0,0.372625122480489,0.3,0.082,0
"UQCRH",0,2.36683241630782,0.969,0.722,0
"CYP4X1",0,0.323457413198252,0.201,0.005,0
"PDZK1IP1",0,0.308341595853337,0.161,0.009,0
"DMRTA2",0,0.42593408937856,0.262,0.01,0
"FAF1",0,0.442677004140434,0.322,0.065,0
"RNF11",0,0.427769210523784,0.366,0.115,0
"BTF3L4",0,0.676328822786349,0.553,0.243,0
"ECHDC2",0,0.589502804545595,0.41,0.108,0
"MAGOH",0,1.01205305801942,0.676,0.364,0
"NDC1",0,0.252827374927167,0.178,0.03,0
"HSPB11",0,0.800782217209841,0.606,0.306,0
"LRRC42",0,0.331506914489094,0.235,0.043,0
"MRPL37",0,0.920141458470788,0.479,0.121,0
"SSBP3",0,0.582036076311037,0.376,0.057,0
"PLPP3",0,0.329051930855508,0.197,0.012,0
"TACSTD2",0,1.88774034993555,0.676,0.059,0
"HOOK1",0,0.514949579481494,0.311,0.026,0
"NFIA",0,1.00683952430203,0.553,0.058,0
"TM2D1",0,0.635382616988706,0.525,0.229,0
"PATJ",0,0.552693443876473,0.388,0.063,0
"DOCK7",0,0.489778527078754,0.318,0.032,0
"ITGB3BP",0,0.686360869344893,0.438,0.118,0
"AK4",0,0.276814795165605,0.114,0.012,0
"SERBP1",0,1.89743562037074,0.931,0.655,0
"GADD45A",0,1.2461204855155,0.447,0.137,0
"GNG12",0,0.846490316396983,0.482,0.02,0
"SRSF11",0,1.24284195813926,0.794,0.536,0
"CRYZ",0,0.388357366786138,0.277,0.065,0
"TYW3",0,0.569359534577728,0.393,0.135,0
"RABGGTB",0,0.908223546128899,0.601,0.211,0
"GNG5",0,1.23810056956977,0.87,0.559,0
"SSX2IP",0,0.574495802690821,0.343,0.032,0
"LPAR3",0,0.394227209336372,0.224,0.006,0
"CLCA2",0,0.681256189690229,0.26,0.006,0
"CLCA4",0,0.258402463945652,0.128,0.003,0
"LMO4",0,1.57457440802134,0.723,0.22,0
"PKN2",0,0.640685392450966,0.487,0.165,0
"GBP6",0,0.26480681730042,0.137,0.005,0
"ZNF326",0,0.703737869762734,0.483,0.137,0
"EVI5",0,0.359008236500041,0.262,0.045,0
"RPL5",0,1.65441273170162,0.987,0.976,0
"FNBP1L",0,0.481330668580377,0.299,0.021,0
"GCLM",0,0.400928198278111,0.294,0.082,0
"ARHGAP29",0,0.897594208526002,0.4,0.011,0
"F3",0,0.427094557760875,0.161,0.01,0
