"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NOC2L",0,0.297693765965758,0.334,0.147,0
"HES4",0,1.36152523317793,0.699,0.258,0
"SDF4",0,0.517993373848527,0.61,0.321,0
"B3GALT6",0,0.256655957075002,0.219,0.06,0
"UBE2J2",0,0.326137291933381,0.323,0.126,0
"CPSF3L",0,0.296004334323987,0.311,0.121,0
"AURKAIP1",0,0.94147104127183,0.781,0.373,0
"CCNL2",0,0.295267883101041,0.364,0.174,0
"MRPL20",0,0.98804450472931,0.821,0.424,0
"SSU72",0,0.933282426960097,0.775,0.386,0
"SLC35E2B",0,0.309250155112127,0.312,0.111,0
"NADK",0,0.275027502686844,0.279,0.103,0
"GNB1",0,0.645135041878814,0.64,0.306,0
"FAAP20",0,0.711753732205585,0.608,0.263,0
"RER1",0,0.854668379950752,0.674,0.297,0
"PEX10",0,0.523404564578562,0.331,0.088,0
"SMIM1",0,0.544873361526109,0.431,0.109,0
"LRRC47",0,0.28219368283283,0.277,0.096,0
"RPL22",0,1.13753892919786,0.98,0.887,0
"CAMTA1",0,0.545074224007767,0.634,0.345,0
"PARK7",0,1.04661290417309,0.865,0.542,0
"ERRFI1",0,0.695794943469806,0.429,0.163,0
"RERE",0,0.750557574943008,0.649,0.264,0
"ENO1",0,0.844148188643311,0.704,0.425,0
"SLC25A33",0,0.849594362077164,0.58,0.191,0
"CLSTN1",0,0.518024475881846,0.495,0.188,0
"CTNNBIP1",0,0.388047146983348,0.359,0.126,0
"PGD",0,0.29702470482267,0.285,0.1,0
"DFFA",0,0.257524317061096,0.279,0.115,0
"CASZ1",0,0.488476220113183,0.407,0.119,0
"TARDBP",0,0.402566973627423,0.458,0.211,0
"SRM",0,0.773569536930631,0.543,0.198,0
"MTOR",0,0.282918533041684,0.264,0.09,0
"MAD2L2",0,0.417316058964137,0.346,0.105,0
"AGTRAP",0,0.895765820551701,0.615,0.208,0
"MTHFR",0,0.393501974023694,0.349,0.125,0
"KIAA2013",0,0.28513480995427,0.295,0.115,0
"DDI2",0,0.470378329448756,0.436,0.153,0
"C1orf64",0,0.835291213562882,0.217,0.073,0
"SZRD1",0,0.256210202344355,0.323,0.158,0
"SDHB",0,0.382997019575327,0.407,0.195,0
"IGSF21",0,0.271097687546409,0.171,0.025,0
"AKR7A2",0,0.481040422050624,0.46,0.186,0
"CAPZB",0,0.655038139733692,0.693,0.408,0
"MINOS1",0,1.31253799969202,0.909,0.543,0
"NBL1",0,0.973908207404536,0.564,0.19,0
