"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FRZB",7.63467584290998e-208,1.37575942262052,0.454,0.031,2.50524253109248e-203
"RPLP2",1.36650995815764e-164,1.36769626450121,0.968,0.918,4.48406577669848e-160
"IGHA1",5.07718914622699e-150,-1.97608550278025,0.468,0.852,1.66602884644292e-145
"RPS3",1.81221635730714e-145,1.20055894847257,0.911,0.789,5.94660675486765e-141
"SNORA52",5.81149563786643e-144,1.25520359330681,0.9,0.754,1.90698417860949e-139
"RPS16",1.26905276618317e-141,1.16910825500135,0.948,0.87,4.16426974695345e-137
"RPS13",2.04504013158298e-140,1.27152830548366,0.938,0.843,6.71059468777638e-136
"RPS17",4.85242108207535e-136,1.08453626711143,0.951,0.864,1.59227345387221e-131
"RPS6",1.55903290024861e-135,1.09807140140561,0.966,0.904,5.11581055887578e-131
"RPL36",2.79051262717698e-135,1.14832558415393,0.874,0.711,9.15678813481855e-131
"CADM1",2.28404986660158e-131,0.976835209946155,0.424,0.098,7.49488123226644e-127
"SNORD35A",3.20102502897861e-127,1.27448348030939,0.716,0.465,1.05038435300904e-122
"RPS19",1.73954868093272e-124,1.1953387084865,0.95,0.895,5.70815504161263e-120
"UBA52",1.79882703886654e-124,0.983964807376054,0.891,0.76,5.90267104533667e-120
"RPS27A",8.52048907766699e-124,0.990649153323529,0.958,0.897,2.79591328594565e-119
"RPS25",5.9649491641054e-122,1.40083891353949,0.896,0.815,1.95733841870954e-117
"RPS11",2.62735003459922e-119,1.10043077379112,0.974,0.962,8.62138640353387e-115
"RPL35",1.35529411411893e-118,0.968651344798122,0.91,0.771,4.44726210606987e-114
"RPS23",1.40048347454847e-118,1.03522023636316,0.928,0.832,4.59554647338335e-114
"RPL32",6.55476934185239e-118,0.929231506099455,0.923,0.829,2.15088201183544e-113
"GAS5",9.67076586887061e-117,0.78430954361173,0.442,0.134,3.1733651122112e-112
"XBP1",9.82997746418576e-117,-0.843621881729301,0.805,0.948,3.22560880509791e-112
"RPS14",1.06127778591167e-116,1.05607612022929,0.952,0.898,3.48247692669056e-112
