"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C1orf61",0,1.72732707905467,0.908,0.239,0
"CLU",0,1.74122528699522,0.968,0.319,0
"CNN3",0,1.85886264220112,0.922,0.226,0
"EGFR",0,2.37669920150758,0.806,0.093,0
"IGFBP2",0,2.45370873812993,0.633,0.027,0
"PTN",0,1.70689993739132,0.87,0.218,0
"SOX9",0,2.15042416471787,0.761,0.075,0
"TNC",0,2.57867927715693,0.681,0.028,0
"AQP4",7.26186362638104e-305,2.2417718783807,0.639,0.05,1.50451290611362e-300
"ITGB8",3.73070675096853e-298,1.67518484166746,0.858,0.226,7.7292782466566e-294
"MAP1B",1.27037861378787e-297,1.7233451757518,0.855,0.223,2.63197041204571e-293
"LAPTM5",2.29722253226299e-295,-3.05523912449982,0.026,0.745,4.75938564234247e-291
"SRGN",1.7847708888605e-294,-3.02954590303018,0.019,0.741,3.69768832754119e-290
"TYROBP",1.42220812626887e-285,-2.89326194504427,0.016,0.727,2.94653079600384e-281
"NES",4.63329871995771e-281,1.96888344157329,0.572,0.045,9.59926828800839e-277
"MT3",7.85645439665324e-281,1.49462342346026,0.915,0.288,1.62770022189862e-276
"SEC61G",2.57303372182835e-279,1.17929461436342,0.922,0.446,5.33081126488398e-275
"LOC100506421",2.08619778817849e-277,1.90196242189818,0.641,0.084,4.32218457754819e-273
"TUBA1A",3.66895962493593e-275,1.08599296531778,0.968,0.557,7.60135055094225e-271
"CYR61",6.84986952845093e-275,2.16284421734017,0.573,0.05,1.41915596890446e-270
"CD74",1.35774107941192e-271,-2.40323615218102,0.157,0.772,2.81296796832561e-267
"FCER1G",2.32232488417364e-271,-2.87686396278622,0.021,0.706,4.81139269503095e-267
"CSRP2",2.95420978692361e-270,2.16540755956636,0.506,0.025,6.12053183654834e-266
"SRI",1.20996576486329e-269,1.14804890766028,0.917,0.464,2.50680707164377e-265
"MDK",8.65589006173638e-269,1.91449493524843,0.644,0.098,1.79332730299054e-264
"SOX2",1.07841378021576e-267,1.64468451053275,0.765,0.161,2.234257669851e-263
"ID4",4.14787937050637e-267,2.04091087646343,0.56,0.045,8.5935764798151e-263
"PTPRZ1",3.13106129365058e-265,1.68548088309355,0.915,0.216,6.48693278818527e-261
"DTNA",7.2850884878826e-265,1.57680152841982,0.85,0.249,1.50932463291952e-260
"RNASET2",1.07245305555772e-263,-2.29763241322999,0.11,0.747,2.22190824050449e-259
"C1QA",1.00043025816141e-262,-2.92569850106088,0.015,0.689,2.0726914088588e-258
"RFX4",4.99409656097638e-262,1.93306777924115,0.541,0.041,1.03467692550309e-257
"AIF1",1.25947180247715e-261,-2.79282119945789,0.009,0.684,2.60937368037216e-257
"HLA-DRB1",1.32772341095735e-261,-2.56626858588158,0.072,0.723,2.75077736282144e-257
"C1QC",1.75906686814317e-259,-2.82017979782291,0.009,0.679,3.64443473741902e-255
"ATP1B2",2.15808167642959e-259,1.60089198675612,0.811,0.201,4.47111361722682e-255
"C1QB",7.00333955313046e-258,-2.9334892599426,0.026,0.687,1.45095188861757e-253
"CSF1R",2.82289672331416e-257,-2.70951903709024,0.021,0.684,5.84847743136228e-253
"GAP43",4.77293557878146e-257,1.98398354859826,0.619,0.09,9.88856793211944e-253
"HSPB6",8.95735878901282e-257,1.56764023281825,0.522,0.039,1.85578559390768e-252
"SLC11A1",2.94693324430058e-255,-2.79307949280092,0.034,0.689,6.10545629554194e-251
"MEST",7.34904617441062e-255,1.96862474189376,0.629,0.1,1.52257538641439e-250
"F3",3.93333616330039e-254,1.83184637243099,0.672,0.112,8.14908586312575e-250
"HLA-DRB5",1.06318049243681e-252,-2.55230482603387,0.055,0.699,2.20269734423058e-248
"CRYAB",2.27602801605237e-250,1.8150152006193,0.686,0.117,4.71547484365729e-246
"WWTR1",6.72413170472428e-250,2.03005559554133,0.515,0.041,1.39310560658478e-245
"CYBA",2.55259989089927e-249,-2.4717586545186,0.027,0.679,5.28847645396511e-245
"CRIP2",3.69867448094816e-248,1.89856360543039,0.626,0.098,7.66291378962841e-244
"CHCHD2",6.60184733020942e-248,0.799890736832886,0.938,0.637,1.36777072987279e-243
"GADD45A",1.44905222504676e-246,1.825530415715,0.658,0.127,3.00214639985188e-242
"HLA-DRA",1.62480992023672e-246,-2.45372498535224,0.104,0.714,3.36628119274644e-242
