"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GLDN",6.40397326776758e-285,-7.69498870668141,0.018,0.83,1.3755094181838e-280
"SLC31A2",1.63240060116545e-248,-5.93565843623013,0.051,0.858,3.50623325124327e-244
"SPP1",2.58088180864294e-239,-7.2746644174194,0.07,0.872,5.54347603678417e-235
"RNASE1",4.28801214089816e-239,-9.65315401428984,0.007,0.677,9.21022127743515e-235
"CNDP1",1.35120600918332e-228,-9.91127630759826,0.01,0.663,2.90225538712486e-224
"ERMN",9.34089870280558e-228,-9.33131844008902,0.016,0.688,2.00633163237561e-223
"KLK6",9.38761492265801e-225,-8.69251707177267,0.011,0.66,2.01636580923771e-220
"PPP1R14A",2.39799092172104e-220,-7.92213213759006,0.018,0.677,5.15064470076463e-216
"GSN",2.60006423300368e-212,-5.07544865134846,0.147,0.94,5.5846779660686e-208
"DOCK5",2.09314112945482e-211,-5.38264789328655,0.015,0.649,4.495857831956e-207
"CARNS1",2.35449451610364e-203,-6.63656094650147,0.028,0.674,5.05721877113902e-199
"MOBP",1.513113077787e-200,-7.24665558269583,0.024,0.652,3.25001557977871e-196
"NEAT1",2.12640928205464e-200,-5.0931791809747,0.13,0.911,4.56731449692517e-196
"GPR37",2.06512008884022e-199,-6.45641568667199,0.016,0.624,4.43567143881991e-195
"SYNGR2",1.17068440556308e-197,-4.97392948152723,0.129,0.89,2.51451303470894e-193
"ST18",1.79087534736805e-194,-5.66635464490937,0.015,0.606,3.84662115861183e-190
"ENPP2",1.04303526238644e-191,-6.44194446571415,0.038,0.677,2.24033544007983e-187
"MAG",2.26413502054765e-191,-6.31547389225789,0.035,0.667,4.86313561063429e-187
"GJB1",2.33349560537735e-191,-6.46236344424692,0.02,0.621,5.01211521079001e-187
"MAL",3.05343938714042e-191,-6.34550903599902,0.031,0.656,6.5584824596389e-187
"ABCA8",8.3008585553063e-191,-6.11026099096926,0.012,0.585,1.78294140909424e-186
"CAPN3",7.622558165681e-190,-6.06810018074567,0.057,0.73,1.63724926840662e-185
"TMEM144",3.28290421765759e-189,-7.48506462533731,0.057,0.723,7.05134996910674e-185
"OPALIN",4.95806388604247e-185,-9.61385506455859,0.003,0.525,1.06494254208306e-180
"RASGRP3",6.22848805633643e-185,-5.00942873711322,0.016,0.596,1.3378169496205e-180
"CA2",3.4262500969333e-183,-6.63993478298645,0.042,0.67,7.35924258320304e-179
"TMEM125",1.12492244134263e-182,-6.69439137218991,0.01,0.557,2.41622091175984e-178
"EVI2A",4.47671926970619e-182,-4.67997403282424,0.184,0.918,9.61554531940192e-178
"SYNJ2",3.53877675393449e-172,-4.52602762160261,0.027,0.603,7.60093858977589e-168
"FOLH1",3.9156889060092e-171,-6.61496513627659,0.022,0.574,8.41050820121717e-167
"ASPA",6.10012410673724e-171,-6.0325045935551,0.02,0.567,1.31024565688609e-166
"TMC6",7.30637740245649e-171,-3.99610342508035,0.062,0.723,1.56933680227363e-166
"ELL2",2.39106543481931e-169,-4.41600821383702,0.086,0.77,5.1357694474484e-165
"SLC5A11",2.24001027305826e-168,-7.4910447659876,0.001,0.468,4.81131806550183e-164
"THEMIS2",2.23602023347254e-166,-6.38343394623754,0.006,0.493,4.80274785947567e-162
"C10orf90",2.64071450295537e-165,-5.25374795016009,0.025,0.578,5.67199068089784e-161
"RAPGEF5",8.1858883082514e-164,-5.36849633079634,0.048,0.642,1.75824694972932e-159
"LPAR1",3.53718961960129e-163,-4.15840675614751,0.065,0.702,7.59752958394161e-159
"UNC5B",2.7482771150035e-161,-3.91714460778627,0.046,0.642,5.90302441531602e-157
"TMEM235",6.07207430913028e-161,-5.6236840870052,0.005,0.475,1.30422084085809e-156
"ARRDC2",1.45352463955087e-158,-5.63336679130554,0.033,0.589,3.12202557329132e-154
"PLD1",1.39432873210165e-156,-4.00277851562381,0.043,0.628,2.99487868368113e-152
"PDK4",9.16869393825489e-156,-6.11510185584688,0.033,0.582,1.96934377099777e-151
"TMEM63A",3.38716545307229e-155,-4.85042501193764,0.102,0.745,7.27529267665396e-151
"ANLN",2.49549266547247e-154,-5.71952678599853,0.065,0.66,5.36006869616831e-150
"MAP7",7.36190629707659e-154,-4.71436028001265,0.063,0.66,1.58126385354908e-149
"HHIP",2.33388214862242e-152,-5.68861738367609,0.042,0.596,5.01294546702609e-148
"CD22",1.41636943052245e-151,-4.9838229302648,0.012,0.486,3.04221989981917e-147
"PLA2G16",2.10784679508686e-151,-4.63380240998605,0.132,0.78,4.52744413116707e-147
"ICOSLG",9.92793662785647e-151,-4.65201588842608,0.008,0.465,2.13242150829729e-146
"BCAN",8.79438050428281e-149,6.15563411965826,0.985,0.113,1.8889449885149e-144
"SEMA4D",1.25791056460583e-147,-3.91289723959471,0.18,0.855,2.70186610171686e-143
"SEPP1",2.26972405607944e-146,-4.90602609991776,0.151,0.801,4.87514030005303e-142
"PTPRZ1",8.20867781415549e-146,6.34566828460904,0.973,0.064,1.76314190770246e-141
"GPM6A",1.66656214505912e-144,5.5243045665591,0.978,0.092,3.57960883137248e-140
"CDC42EP2",8.34268841339531e-144,-5.5649007792116,0.031,0.539,1.79192604431318e-139
"S1PR5",6.08315806250265e-143,-6.55544664310938,0.012,0.461,1.30660152024494e-138
"KCNJ2",5.95438119606947e-140,-4.3028262355534,0.043,0.574,1.27894153710376e-135
"ELOVL1",9.5323144779445e-140,-4.70702480625525,0.175,0.805,2.0474458267177e-135
"LDLRAP1",2.88466210834599e-139,-5.33430974243977,0.008,0.436,6.19596574251635e-135
"MAP2",3.64658025406301e-139,5.61164500739302,0.963,0.096,7.83248972770195e-135
"C1orf61",4.20583507491466e-139,5.14400489302828,0.979,0.394,9.0337131574092e-135
"LIPA",1.79567096002789e-136,-3.60031112909949,0.213,0.862,3.85692165504389e-132
"BIN1",2.90167050039138e-136,-3.99712741099193,0.282,0.897,6.23249806779064e-132
"FTH1",3.29755550765992e-136,-2.10920711452938,0.995,0.993,7.08281947490275e-132
"ACSL1",1.48486264959678e-133,-3.73950865312403,0.11,0.727,3.18933648506892e-129
"ADORA3",4.67020731267946e-133,-7.73273202810232,0.005,0.397,1.00311382869042e-128
"HSPA2",5.04870258811124e-133,-5.1960378890732,0.109,0.681,1.08441082890041e-128
"TUBB2B",2.835159952782e-132,3.82221502256581,0.987,0.195,6.08964006258046e-128
"FAM107B",4.10827808345942e-132,-4.61147861945985,0.089,0.663,8.8241704954625e-128
"CLMN",3.66705373583046e-131,-4.70075430965969,0.095,0.663,7.87646471919024e-127
"NINJ2",4.34841868901808e-131,-4.56622085243417,0.035,0.528,9.33996850214194e-127
"SH3TC2",5.4010996089333e-130,-4.0400731289493,0.081,0.631,1.16010218500278e-125
"KIAA1598",1.47329413748387e-128,-3.19569943937082,0.274,0.901,3.1644884779016e-124
"MAN2A1",3.54523353057563e-128,-3.94547344978544,0.091,0.674,7.6148071003234e-124
"MTUS1",7.22301123900394e-128,-3.76909689238956,0.128,0.741,1.55143058402566e-123
"IP6K3",8.68554324141726e-128,-6.11404643254905,0.002,0.369,1.86556783282401e-123
"HAPLN2",1.72807152771976e-126,-5.466645654281,0.047,0.539,3.71172483438928e-122
"RHOG",2.76787301790762e-126,-3.48310357083686,0.13,0.738,5.94511445516377e-122
"LINC00320",5.9781141184357e-126,-6.39900263690048,0.011,0.411,1.2840391314988e-121
"TMEM151A",2.82379837568275e-125,-4.37066122995299,0.042,0.528,6.06523653112898e-121
"AATK",6.0942655777413e-125,-4.52026318860227,0.111,0.677,1.30898730344305e-120
"KIF13B",1.15120039022053e-122,-3.5743122603943,0.14,0.752,2.47266331815468e-118
"PADI2",1.82180543677919e-122,-3.48512455286138,0.349,0.926,3.91305589765802e-118
"SLC24A2",5.63360698578251e-122,-4.8910131525573,0.164,0.745,1.21004244447623e-117
"FA2H",1.37495059751394e-121,-4.64449526009375,0.096,0.642,2.9532563884002e-117
"FXYD6",2.27810696316773e-120,4.62291156521706,0.922,0.149,4.89314594618797e-116
"FTL",6.44258304468517e-117,-2.65740938665341,0.887,0.989,1.38380241216793e-112
"NDRG1",1.40449165524703e-116,-3.94139417867563,0.131,0.688,3.01670762630509e-112
"MVP",2.10321524975463e-116,-4.41475384420045,0.026,0.454,4.51749603494797e-112
"VCAN",7.07669965737905e-116,2.91181727469625,0.92,0.071,1.52000431940845e-111
"GAS7",2.98631584952055e-115,-3.9104064012602,0.221,0.801,6.41430781318519e-111
"GRM3",5.30631995931777e-115,-4.53714056319749,0.089,0.61,1.13974446406186e-110
"CDK18",2.8408113766837e-112,-4.10835787582683,0.124,0.663,6.10177875597891e-108
"LRP2",4.10558289710218e-112,-3.95706867468054,0.042,0.493,8.81838150468578e-108
"TTYH2",1.39718068681099e-110,-3.84911012367577,0.184,0.745,3.00100439720132e-106
"TPPP",4.54964966870192e-110,-5.05771757869286,0.138,0.667,9.77219252340486e-106
"HBEGF",6.08505310305178e-110,-4.52432260264767,0.062,0.546,1.30700855600449e-105
"GLUL",6.63768966404266e-109,-2.98955399735679,0.767,0.968,1.42570936293972e-104
"LDHB",1.03480232058013e-108,2.17224026778072,0.988,0.904,2.22265190437407e-104
"SOX4",1.27683977425761e-108,4.18192285382845,0.898,0.156,2.74252415112793e-104
"SOX6",2.60008642599834e-108,5.06620816128514,0.836,0.032,5.58472563440184e-104
"SERPINE2",6.34135059331265e-108,5.28847834742871,0.869,0.113,1.36205869393762e-103
"ZNF536",1.27992769941347e-107,-3.89278003183858,0.093,0.606,2.74915670557019e-103
"SEPT4",2.46252837162331e-106,-5.16586011392607,0.174,0.688,5.2892646894097e-102
"SORT1",4.31120266313093e-106,-3.42790767406134,0.27,0.837,9.26003220013893e-102
"PMP22",1.61437465869085e-105,-4.2481061570223,0.166,0.688,3.46751532940208e-101
"TNR",6.99284641716181e-105,5.4524237811397,0.813,0.021,1.50199348194219e-100
"MBP",9.45446600586287e-103,-4.34280606162073,0.279,0.816,2.03072475339929e-98
"HHATL",1.0401268070614e-102,-6.67601028603367,0.012,0.355,2.23408836888719e-98
"EFHD1",1.99500704706685e-102,-4.19537194081568,0.097,0.599,4.28507563639489e-98
"SEC14L5",3.4022574520938e-102,-5.86816222952143,0.106,0.592,7.30770878135227e-98
"LDB3",1.61355115308773e-101,-5.20737980675012,0.16,0.674,3.46574652171713e-97
"ITGB2",1.89768376909086e-101,-7.72043724585322,0.003,0.305,4.07603496763026e-97
"SUN2",3.98011732622946e-101,-3.65281870097692,0.21,0.762,8.54889400500825e-97
"OSTF1",5.26736354078982e-101,-3.71983270296833,0.07,0.543,1.13137701492624e-96
"CES4A",1.85767968405565e-100,-4.19856190630543,0.023,0.401,3.99011019338314e-96
"TF",5.47675518596951e-100,-5.77632708035344,0.189,0.684,1.17635224639439e-95
"LCP2",5.76729663687364e-100,-5.21249557629857,0.002,0.294,1.23875764463409e-95
"PCDHGC3",6.47526402840941e-100,5.57523838350412,0.807,0.05,1.39082196066206e-95
"FCHO1",7.14877857944996e-100,-3.98371818173113,0.049,0.482,1.53548615108006e-95
"RPLP0",2.34723507574336e-99,2.14587914519487,0.997,0.957,5.04162621918917e-95
"NCAN",3.05567859533479e-99,6.56445649018606,0.78,0.014,6.5632920549196e-95
"SLC45A3",5.22893666927062e-99,-3.78346519826523,0.02,0.383,1.12312330719264e-94
"CNTN1",1.51104840268006e-98,4.21062908899752,0.843,0.096,3.2455808641165e-94
"AK5",1.93650429440608e-98,-4.24134078170642,0.027,0.408,4.15941757395483e-94
"TYROBP",1.06290778756706e-97,-9.08020209280331,0.002,0.287,2.28301963691529e-93
"PREX1",1.74246572686943e-97,-2.55742267927008,0.384,0.943,3.74264213474285e-93
"FGF1",2.29980492141968e-97,-3.82768388934536,0.05,0.479,4.93975099071733e-93
"LHPP",1.05820182518642e-96,-3.69352306006363,0.162,0.677,2.27291170031792e-92
"RAB40B",2.25647655033424e-96,-3.5443270844933,0.101,0.589,4.84668598246291e-92
"RHBDF2",2.84552531472038e-96,-5.82439208908462,0.003,0.287,6.11190382348791e-92
"DLG2",1.16717786843939e-95,-3.69946403756671,0.151,0.66,2.50698134362097e-91
"FOLH1B",1.18176493120297e-95,-3.503492067041,0.005,0.298,2.53831289573086e-91
"PTN",1.21451219415631e-95,2.35506235986988,0.97,0.528,2.60865074182833e-91
"FHL1",6.76905220596237e-95,4.43886588704964,0.82,0.096,1.45392472331866e-90
"LUZP2",3.42138748523276e-94,4.63143036490981,0.856,0.291,7.34879817953145e-90
"MYO1E",3.78793784619579e-94,-2.942258037902,0.089,0.578,8.13611169984394e-90
"CYBA",4.10539096201215e-94,-6.73493829305034,0.001,0.27,8.81796924730589e-90
"LGI3",4.19611052032251e-94,-3.935093220615,0.037,0.429,9.01282578660071e-90
