"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MARCKSL1",0,2.43244248010737,0.996,0.692,0
"IFI16",0,-1.56486331872853,0.145,0.854,0
"ELF3",0,2.51975062835566,0.916,0.213,0
"EPCAM",0,3.03765620656572,0.957,0.283,0
"EFHD1",0,2.14858034923222,0.864,0.166,0
"OCIAD2",0,1.90041252388746,0.922,0.314,0
"TGFBI",0,-2.2282785483037,0.079,0.719,0
"TFAP2A",0,1.68954598447285,0.816,0.126,0
"CUTA",0,1.78976996146879,0.999,0.914,0
"GLO1",0,2.00977898450522,0.977,0.573,0
"RPL7L1",0,1.82359907041737,0.947,0.563,0
"HSP90AB1",0,2.98485964764649,1,0.989,0
"CD24",0,3.7934293930471,0.994,0.663,0
"TPD52L1",0,2.11053027850966,0.886,0.202,0
"PERP",0,2.34128116131207,0.921,0.303,0
"CLDN3",0,2.81035380557655,0.939,0.282,0
"CLDN4",0,2.62532546196278,0.942,0.329,0
"AZGP1",0,2.82055784230792,0.955,0.548,0
"PCSK1N",0,2.81960550247437,0.826,0.19,0
"RPL7",0,1.66835325364671,1,1,0
"LY96",0,-1.59179138751195,0.04,0.675,0
"TPD52",0,3.98880834613622,0.989,0.392,0
"CHMP4C",0,2.38331928887816,0.898,0.087,0
"C8orf59",0,2.15973972976171,0.99,0.772,0
"CPNE3",0,3.02783369454988,0.948,0.5,0
"OTUD6B-AS1",0,1.7918247867728,0.914,0.406,0
"PABPC1",0,2.09830989278467,0.998,0.987,0
"EIF3H",0,2.83931626169738,0.995,0.926,0
"RAD21",0,2.50299968949753,0.978,0.551,0
"MAL2",0,2.77389485117114,0.9,0.129,0
"MRPL13",0,2.1595324434821,0.977,0.664,0
"RPL8",0,1.53391192124787,0.999,1,0
"MDK",0,2.15974686722191,0.985,0.628,0
"MRPL21",0,1.81185105056575,0.956,0.558,0
"FKBP4",0,2.12143525175298,0.935,0.401,0
"CLEC2B",0,-1.49788285364608,0.054,0.728,0
"KRT8",0,2.81925561928219,0.991,0.442,0
"KRT18",0,2.6558404291642,0.98,0.32,0
"B2M",0,-2.99432099311247,0.98,1,0
"CLDN7",0,2.24002611704657,0.938,0.282,0
"KRT19",0,2.87265971839772,0.984,0.608,0
"TCF4",0,-1.83696294321291,0.044,0.691,0
"DSTN",0,1.96512034004661,0.997,0.84,0
"PPDPF",0,1.97499589143724,0.999,0.97,0
"BST2",0,-2.25241694773568,0.223,0.87,0
"FXYD3",0,2.14538538395259,0.925,0.275,0
"SPINT2",0,2.51313042186432,0.984,0.657,0
"EMP3",0,-2.22406647791443,0.19,0.804,0
"SOX4",4.72728459191982e-307,2.44073129848278,0.977,0.596,1.07952270941081e-302
"YWHAZ",1.11484443190222e-305,1.75046887782698,0.987,0.875,2.5458587446919e-301
"TCEA1",5.8474335317367e-305,1.57536997646922,0.969,0.65,1.33531992130739e-300
"SRP9",9.09280692967098e-301,1.44229884598281,0.99,0.814,2.07643339045967e-296
"CRNDE",6.34476873679074e-300,1.67056321887032,0.892,0.271,1.44889138873353e-295
"MAGED2",7.50752044135497e-300,1.94942632915999,0.97,0.645,1.71441736798782e-295
"LYPLA1",2.2668731693912e-298,1.70832147367589,0.951,0.581,5.17663156962174e-294
"AP1M2",2.56536151581974e-297,1.40939029323239,0.784,0.103,5.85825955752596e-293
"LSP1",2.82658877126869e-296,-2.41308909103664,0.143,0.739,6.45479811806918e-292
"ESRP1",7.25560184306849e-296,1.41577574116933,0.747,0.078,1.65688923688312e-291
"S100A14",3.88174562665541e-294,2.24035428721655,0.819,0.152,8.86435431303029e-290
"HLA-A",2.91911169594192e-291,-1.47836190677779,0.529,0.996,6.66608346885296e-287
"SRGN",5.65045324982557e-291,-3.69420398750536,0.168,0.745,1.29033750413017e-286
"ZEB2",7.17875829682862e-290,-1.30230393663645,0.031,0.627,1.63934124466378e-285
"LAPTM4B",6.91664187024192e-289,1.82970802970618,0.887,0.331,1.57948433748844e-284
"TRPS1",4.3833971075552e-288,2.01122621804707,0.893,0.431,1.00099256348131e-283
"TSPAN13",2.81638734962748e-287,1.86269751993948,0.873,0.268,6.43150215160932e-283
"DAB2",2.48623963156957e-284,-1.38882799281814,0.073,0.681,5.67757682265226e-280
"TSTD1",3.11203646489369e-284,1.74035525206851,0.933,0.488,7.10664647123123e-280
"PTGES3",9.52185419790061e-284,1.61166183083645,0.989,0.902,2.17441062463258e-279
"IRX3",1.76684307225529e-283,2.06493133870693,0.798,0.156,4.03476283980219e-279
"HSD17B11",4.51933481657745e-283,-1.16841362007271,0.041,0.633,1.03203529871363e-278
"GMFG",5.76242629651463e-281,-1.59731184520876,0.066,0.655,1.31590766907208e-276
"ZFAND1",6.89050808982171e-279,1.76290442016054,0.857,0.319,1.57351642739169e-274
"ST13",1.98081333144293e-278,1.37374456487642,0.992,0.898,4.52338532368308e-274
"DHCR7",8.74062738156267e-278,1.61119717884633,0.746,0.117,1.99600966885365e-273
"MTL5",1.8379279982779e-276,1.67274311118332,0.683,0.047,4.19709237686741e-272
"DSP",7.81822365210043e-276,1.61101855080827,0.821,0.178,1.78536955319365e-271
"FAM60A",2.31138609488299e-274,1.67364767561767,0.842,0.288,5.2782812862748e-270
"CCT2",5.85177239811239e-273,3.85459615535817,0.952,0.665,1.33631074483295e-268
"LSR",1.33154794768752e-272,1.69761414183975,0.826,0.235,3.04072289333921e-268
"TTC39A",4.53516244562168e-272,2.00889087716312,0.71,0.087,1.03564969608217e-267
"PSMB9",2.46145362734021e-271,-1.53201634518491,0.106,0.702,5.6209755033941e-267
"MLF2",1.90763776000142e-269,1.74989720615184,0.952,0.722,4.35628158873925e-265
"NDUFB9",9.78737607149226e-268,1.60114915780028,0.993,0.89,2.23504519968597e-263
"SAMHD1",2.93031562698071e-266,-1.26702683353984,0.067,0.644,6.69166876577316e-262
"PAFAH1B3",3.53742261533084e-259,1.52269043833447,0.881,0.385,8.07805828436951e-255
"EIF4A3",8.38735487179426e-254,1.66119040157692,0.942,0.655,1.91533635852294e-249
