"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARRDC3",3.6464858729991e-44,-1.87475279846655,0.883,0.994,7.46581517637836e-40
"AREG",2.59250039697376e-35,-1.92986022840736,0.25,0.653,5.30788531276407e-31
"LOC100506606",1.48283450404583e-34,-1.86926694950548,0.173,0.566,3.03595536358342e-30
"SELL",7.21793912765477e-33,-1.41190020479003,0.897,1,1.47780085699604e-28
"FOS",9.84947718299456e-31,-1.70054110522198,0.911,1,2.01658195844631e-26
"CD164",8.32381230047189e-30,-1.25740782061822,0.954,1,1.70421733039861e-25
"CRHBP",2.8701533093477e-27,-1.30720948786383,0.711,0.977,5.87635188555848e-23
"SELP",3.92401208453647e-25,-2.03620702338431,0.085,0.347,8.03402234187997e-21
"MMRN1",1.1072830731653e-24,-1.4030182974161,0.552,0.861,2.26705136399864e-20
"SDPR",8.85387850373416e-24,-2.19157152573561,0.296,0.636,1.81274308485453e-19
"SPINK2",1.58454569292584e-23,-0.917937538510145,0.828,1,3.24419885169637e-19
"NAP1L3",1.08164202735385e-22,-1.94271500708009,0.171,0.48,2.21455388680428e-18
"NR4A2",1.62488364371156e-22,-1.51343254629273,0.177,0.491,3.32678677213504e-18
"ADAM28",1.40031043731324e-21,-1.09879057434889,0.59,0.902,2.86699558935512e-17
"HNRNPH1",2.99493697375359e-21,1.24920167953689,1,1,6.1318339600631e-17
"MAGED2",4.08309540665296e-21,-1.47354787401002,0.676,0.902,8.35972953558127e-17
"TMEM246",5.78102696438445e-21,-2.24618529808249,0.086,0.318,1.18360746068807e-16
"HEMGN",3.07282913088521e-20,-0.519186369362967,0.59,0.913,6.29131036257438e-16
"PLA2G4A",4.69425860261861e-20,-1.4336174408238,0.161,0.451,9.61102506300135e-16
"PRMT6",1.44183877997674e-19,-2.06670309856702,0.064,0.266,2.95202071812437e-15
"TSC22D1",1.74803440225408e-19,-1.05835212206835,0.877,0.994,3.578925635175e-15
"HOPX",1.96501730604421e-19,-1.21275747615581,0.663,0.908,4.02317643239491e-15
"PROM1",2.50920581798586e-19,-1.60981601569818,0.5,0.775,5.13734799174426e-15
"PRSS3P2",2.97171354074669e-19,-1.54941113423767,0.138,0.399,6.08428630332478e-15
"GGTA1P",9.78028279344112e-19,-1.83354425299826,0.136,0.387,2.00241509912913e-14
"UCHL1",1.00272157614221e-18,-2.0735155224492,0.18,0.457,2.05297215499356e-14
"GPR183",2.80935020988963e-18,-2.07888767299742,0.097,0.324,5.75186361972804e-14
"C16orf54",3.62564672238389e-18,-0.980492829605407,0.898,0.988,7.42314909940878e-14
"KIAA0125",4.02538194858005e-18,-0.909183112823665,0.775,0.96,8.2415670015228e-14
"GATM",4.67826734175846e-18,-1.12679415819244,0.065,0.26,9.57828455551627e-14
"PCDH9",6.43758027371019e-18,-0.862690262732616,0.355,0.682,1.31803018523942e-13
"CTR9",6.82245035172496e-18,-1.67063551430866,0.284,0.584,1.39682848501217e-13
"ICAM3",8.48103598028139e-18,-1.10505601872904,0.708,0.936,1.73640730660281e-13
"HNRNPL",1.47827356948007e-17,1.17636334383335,0.989,0.988,3.0266173061535e-13
"FOSB",1.55451211247084e-17,-0.638756225130033,0.344,0.659,3.18270809907279e-13
"FAM19A2",1.55553776197823e-17,-1.68440275469859,0.08,0.283,3.18480801387424e-13
"MPL",2.23615691556974e-17,-0.853602570073173,0.958,0.994,4.57830766893749e-13
"NFKBIA",5.58926499423908e-17,2.31504175079288,0.898,0.734,1.14434611492051e-12
"MYCT1",7.4414020066179e-17,-0.800731930113054,0.484,0.827,1.52355264683495e-12
"NOG",9.14702354281126e-17,-1.34437532455251,0.571,0.803,1.87276160015518e-12
"LRRC70",9.72728094243076e-17,-0.686562134090392,0.689,0.879,1.99156350015327e-12
"PRSS1",2.94482249879706e-16,-1.47785772490064,0.167,0.405,6.02922958403709e-12
"PRDX1",3.06180930901691e-16,-0.798229650495186,0.912,0.994,6.26874837928121e-12
"KIT",4.75859086119804e-16,-1.15902883518408,0.278,0.555,9.74273892921686e-12
"ANXA2",8.39265435812221e-16,3.28561354090439,0.622,0.353,1.71831205328194e-11
