"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GNB1",0,0.257402814339959,0.319,0.165,0
"CAMTA1",0,0.647008642104571,0.585,0.283,0
"RERE",0,0.537910706909216,0.563,0.299,0
"KIF1B",0,0.441305829170265,0.44,0.201,0
"KAZN",0,0.278719326913679,0.299,0.153,0
"EIF4G3",0,0.431330705626623,0.453,0.223,0
"RPL11",0,0.304302038050901,0.582,0.451,0
"STMN1",0,0.353440980717693,0.573,0.412,0
"PHACTR4",0,0.268297969068633,0.281,0.127,0
"EPB41",0,0.314291108089307,0.309,0.125,0
"PUM1",0,0.284300206739715,0.325,0.152,0
"CSMD2",0,0.321916163416092,0.274,0.093,0
"ZMYM4",0,0.250678348059708,0.356,0.207,0
"MACF1",0,0.490116224436931,0.502,0.245,0
"SCMH1",0,0.355213945843348,0.362,0.16,0
"HIVEP3",0,0.370510150205782,0.376,0.163,0
"AGBL4",0,0.731047722173944,0.528,0.224,0
"ELAVL4",0,0.613843412603544,0.531,0.256,0
"FAF1",0,0.493277709309963,0.466,0.205,0
"ZCCHC11",0,0.364293380050599,0.372,0.163,0
"SSBP3",0,0.322881464410982,0.334,0.144,0
"SGIP1",0,0.584350501546361,0.497,0.228,0
"SRSF11",0,0.282538892068573,0.362,0.192,0
"NEGR1",0,0.68982068831696,0.474,0.234,0
"TTLL7",0,0.318190914092811,0.28,0.094,0
"PRKACB",0,0.299277624284594,0.306,0.132,0
"PKN2",0,0.250008211791165,0.268,0.117,0
"FNBP1L",0,0.362020283585441,0.357,0.15,0
"PTBP2",0,0.458405240653851,0.466,0.237,0
"DPYD",0,0.598772315241542,0.403,0.188,0
"MIR137HG",0,0.374459016913614,0.31,0.131,0
"NTNG1",0,0.517654615573345,0.319,0.107,0
"MAGI3",0,0.267914705600375,0.313,0.151,0
"RP11-435B5.4",0,0.3387360187201,0.303,0.115,0
"PDE4DIP",0,0.431424334595945,0.362,0.146,0
"RP11-14N7.2",0,0.677599382164236,0.568,0.274,0
