"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A2M",0,-1.53291087933744,0.027,0.248,0
"AAMP",0,0.449050726585757,0.461,0.225,0
"ABCA7",0,0.528628539009575,0.326,0.053,0
"ABCC3",0,1.28028658630013,0.618,0.095,0
"ABCD3",0,0.2856291449849,0.236,0.065,0
"ABHD11",0,0.718107355772874,0.441,0.069,0
"ABHD11-AS1",0,0.649742651996553,0.34,0.015,0
"ABHD12",0,0.430401105888207,0.453,0.22,0
"ABHD17C",0,0.432238505823799,0.286,0.031,0
"ABHD2",0,0.605207693642373,0.484,0.175,0
"ABI2",0,0.37895009600321,0.335,0.116,0
"ABI3",0,-0.435322039812413,0.009,0.218,0
"ABLIM1",0,0.434544837273986,0.327,0.075,0
"ACACA",0,0.299879619552453,0.221,0.034,0
"ACAP1",0,-0.610015031159617,0.042,0.363,0
"ACBD3",0,0.562575611139266,0.438,0.146,0
"ACBD6",0,0.33159387438409,0.339,0.152,0
"ACOT13",0,0.389819592860216,0.406,0.191,0
"ACOX1",0,0.305814077560326,0.279,0.098,0
"ACP1",0,0.782247489507368,0.697,0.383,0
"ACP6",0,0.303850314184331,0.216,0.032,0
"ACSL5",0,0.599399367467843,0.37,0.11,0
"ACSS2",0,0.304857891512308,0.235,0.06,0
"ACTG1",0,0.806684933809307,0.99,0.972,0
"ACTN4",0,1.02593010134877,0.658,0.337,0
"ADAM15",0,1.0568282754437,0.582,0.117,0
"ADAM9",0,0.567812407616538,0.424,0.14,0
"ADAR",0,0.587232687460046,0.574,0.345,0
"ADGRF1",0,0.739903946548031,0.35,0.02,0
"ADGRF5",0,0.85063115108314,0.404,0.057,0
"ADGRG1",0,0.513752088517573,0.336,0.055,0
"ADGRL1",0,0.294757981541397,0.199,0.02,0
"ADH1C",0,0.383052093884097,0.144,0.013,0
"ADI1",0,0.74727026504675,0.639,0.33,0
"ADIPOR1",0,0.569080664552751,0.591,0.317,0
"ADIRF",0,0.62396054081564,0.338,0.128,0
"ADK",0,0.549968416602368,0.442,0.156,0
"ADNP",0,0.376077765331004,0.32,0.102,0
