"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A1BG",0,-0.299619193126477,0.012,0.183,0
"A1CF",0,0.325746639686339,0.185,0.006,0
"A2M",0,-1.00980846957667,0.022,0.207,0
"AAGAB",0,0.411668196417615,0.319,0.075,0
"AAMDC",0,0.44138050939646,0.436,0.16,0
"AAMP",0,1.08753615035039,0.75,0.254,0
"AATF",0,0.577263466389848,0.467,0.155,0
"ABCC3",0,0.832082780329022,0.516,0.054,0
"ABCD3",0,0.420715449181317,0.326,0.062,0
"ABCE1",0,0.672490303273925,0.507,0.158,0
"ABCF1",0,0.692538941719819,0.615,0.266,0
"ABCF2",0,0.47432652573416,0.359,0.081,0
"ABHD11",0,1.40210908335322,0.736,0.085,0
"ABHD11-AS1",0,0.468169123852143,0.242,0.016,0
"ABHD12",0,1.15706285751344,0.704,0.198,0
"ABHD14B",0,0.923302477576963,0.669,0.236,0
"ABHD17B",0,0.366961454238068,0.301,0.087,0
"ABHD17C",0,0.871612740371046,0.525,0.046,0
"ABHD2",0,0.927960547499145,0.559,0.142,0
"ABI1",0,0.455561778439159,0.511,0.255,0
"ABI3",0,-0.322310886742249,0.007,0.175,0
"ABLIM1",0,0.73240727497256,0.49,0.09,0
"ABLIM2",0,0.264193732673569,0.165,0.01,0
"ABO",0,0.337057937444478,0.232,0.017,0
"ABR",0,0.424714053764658,0.356,0.101,0
"ABRACL",0,1.28750187017878,0.88,0.537,0
"ABT1",0,0.652624484300828,0.539,0.19,0
"ACAA1",0,0.744196232147269,0.608,0.247,0
"ACAA2",0,1.45318273478805,0.734,0.214,0
"ACACA",0,0.278164585285602,0.216,0.037,0
"ACADVL",0,0.663157514209385,0.717,0.412,0
"ACAP1",0,-0.431521244226567,0.047,0.293,0
"ACAT1",0,0.600180006698656,0.452,0.179,0
"ACAT2",0,1.01123332340557,0.49,0.131,0
"ACBD3",0,0.52835990249622,0.451,0.163,0
"ACBD5",0,0.342927693604187,0.28,0.074,0
"ACBD6",0,0.645357659754933,0.481,0.14,0
