"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KRT18",0,2.69118913006885,0.951,0.333,0
"KRT8",0,2.42840345390649,0.927,0.295,0
"SRGN",2.47581071966611e-244,-2.70690480915861,0.092,0.651,4.3051872604274e-240
"TM4SF4",1.65761049113152e-234,2.17457077067709,0.774,0.193,2.8824188830286e-230
"SERINC2",3.7561870911068e-231,1.41320277209843,0.731,0.14,6.53163373272561e-227
"VIM",3.94731317953383e-229,-2.189197791906,0.292,0.824,6.86398288789138e-225
"MEF2C",7.58871396589688e-229,-1.23304088762486,0.014,0.533,1.31960147152981e-224
"MGST1",3.0663282241566e-227,2.4179874541522,0.775,0.207,5.33203814898592e-223
"DEFB1",5.41235275661109e-224,2.30648210581478,0.729,0.154,9.41154020847102e-220
"TSTD1",7.75069224503913e-224,1.51973966166116,0.77,0.206,1.34776787448986e-219
"CD24",9.51126339423576e-224,1.59400820497299,0.73,0.148,1.65391359162366e-219
"CYP3A5",6.33195219583228e-216,1.95840908584295,0.664,0.103,1.10106316733327e-211
"SLPI",3.27350831801398e-213,2.41903223410696,0.719,0.152,5.6923036141945e-209
"ATP5MF",1.85982267230561e-208,2.24501152434097,0.92,0.687,3.23404564487223e-204
"TCF4",6.28702748183217e-207,-1.8335048582813,0.035,0.526,1.0932512088158e-202
"UQCRQ",2.58646052566728e-198,1.91282687042539,0.956,0.843,4.49759620808283e-194
"TNFRSF12A",3.2132139164437e-198,1.57521911272644,0.722,0.196,5.58745767930394e-194
"PERP",1.35164438577425e-194,1.86165399687313,0.654,0.131,2.35037442242284e-190
"SERPINA1",4.42893907639785e-194,1.79980236098568,0.851,0.469,7.70148215994822e-190
"TSPAN8",4.55257391226335e-189,2.09982809917503,0.595,0.085,7.91647077603475e-185
"RPS26",8.51704815497878e-189,1.63657237267763,0.983,0.911,1.48102950366926e-184
"IGFBP7",1.47983686230822e-188,-3.20246853425555,0.101,0.568,2.57328831986776e-184
"DNPH1",5.87750497016094e-185,1.61045451452362,0.754,0.291,1.02203933926129e-180
"PPDPF",1.38645492942023e-184,1.55804255765195,0.94,0.764,2.41090647676884e-180
"SPARC",4.30583183831607e-183,-3.06789030772737,0.078,0.533,7.48741098364781e-179
"ARHGDIB",8.77348433657219e-182,-1.52705024514414,0.167,0.643,1.52562119128654e-177
"GMFG",2.88679425559197e-180,-1.17479572505693,0.039,0.484,5.01984653104888e-176
"ID3",3.21089063590663e-179,-1.99353568900675,0.078,0.535,5.58341772677804e-175
"CANX",1.00411389436927e-178,1.25310081183487,0.898,0.574,1.74605365091873e-174
"ATP5F1D",1.90071619482846e-175,1.47276233894347,0.839,0.423,3.30515539118721e-171
"STARD10",4.90117184461938e-175,1.28327248792232,0.618,0.13,8.52264772060865e-171
"ANXA4",8.20927742828046e-172,1.75101013527758,0.773,0.319,1.42751125200369e-167
"BRI3",1.45484542982576e-171,2.27149939262729,0.735,0.294,2.52983071792402e-167
"MAL2",1.5835497101211e-171,1.50573023382535,0.551,0.068,2.75363459092958e-167
"SEC61G",6.4912510583532e-171,1.58727953184295,0.941,0.784,1.12876364653704e-166
"MIF",6.78298151278644e-170,1.50340144813918,0.899,0.619,1.17949265525843e-165
"HINT1",6.6859979940458e-166,1.69604285730446,0.96,0.892,1.16262819118462e-161
"MDK",7.03175668733829e-166,2.1929770933917,0.72,0.304,1.22275217036126e-161
"MGP",3.83254271669819e-165,-2.95616433130877,0.086,0.518,6.66440853006647e-161
"ATP1B1",2.09730399606651e-162,1.36073462420725,0.767,0.263,3.64700191876006e-158
"SLC2A3",1.09680189849987e-160,-1.49678045972112,0.057,0.483,1.90722882130143e-156
"PCBD1",3.44836539279491e-160,1.4841209812779,0.697,0.265,5.99636258153107e-156
"CLU",1.04452653371674e-159,2.91139509727492,0.738,0.365,1.81632718948004e-155
"ENG",2.93893545084652e-159,-1.66862455791801,0.036,0.442,5.11051485547701e-155
"P4HB",1.12081692137826e-157,1.71316779105244,0.884,0.642,1.94898854458466e-153
"ELF3",4.97192302740629e-157,1.4589232195853,0.597,0.12,8.6456769523568e-153
"SPINK1",1.83558402769687e-156,1.87353938897217,0.616,0.136,3.19189706576208e-152
"RPL36",1.81234169075809e-155,1.33818489658731,0.993,0.991,3.15148096605924e-151
"VDAC1",1.24261460369685e-154,1.2082006829079,0.874,0.575,2.16078253436845e-150
"POLR2L",1.90516275320099e-154,1.44783701428083,0.926,0.796,3.3128875115412e-150
"COX7C",1.22826463580846e-153,1.31863206793066,0.969,0.951,2.13582937520734e-149
"OCIAD2",1.37413875717322e-153,1.43672195476732,0.696,0.264,2.38948988484851e-149
"SPATS2L",4.90614488706297e-153,1.11155674580037,0.76,0.343,8.5312953441138e-149
"CHCHD10",6.32523119119768e-153,1.6718873331866,0.73,0.267,1.09989445183736e-148
"SPARCL1",7.56567434166534e-153,-3.03249406948006,0.07,0.477,1.31559511127219e-148
"SDC1",2.00834673602504e-151,1.00509778508148,0.567,0.111,3.49231413927394e-147
"UQCR11",1.62302016717072e-150,1.36694389623369,0.94,0.843,2.82226976869317e-146
"RPL41",2.71361165000172e-150,1.43054183503426,0.994,0.998,4.71869929818799e-146
"CXADR",8.41173283372601e-150,0.819321161277344,0.529,0.083,1.46271622245662e-145
"ATP5ME",1.82896756289601e-148,1.42341645595541,0.91,0.708,3.18039169511987e-144
"SDC4",2.103366295967e-148,1.00480603684168,0.58,0.13,3.65754365205702e-144
"RASSF7",4.43567561001884e-147,0.94421031594041,0.55,0.111,7.71319631826176e-143
"ROMO1",5.75190880627822e-147,1.31307137025044,0.842,0.521,1.00019942232372e-142
"COL4A1",7.92925819626961e-147,-1.69702091244969,0.042,0.427,1.37881870774932e-142
"ELOB",3.71323044662771e-145,1.2688779507705,0.955,0.885,6.45693642364092e-141
"CLDN1",1.3528464031439e-142,0.857779900868882,0.561,0.111,2.35246461042693e-138
"MPST",8.45453835905789e-142,1.3538566093747,0.685,0.29,1.47015967525658e-137
