"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL22",0,0.481312736964504,0.999,1,0
"CDC42",0,0.76287181239721,0.882,0.683,0
"HNRNPR",0,0.782966802622511,0.848,0.634,0
"RPL11",0,0.477308897207173,1,1,0
"C1orf63",0,0.680312676446141,0.794,0.485,0
"PTP4A2",0,0.789139927829754,0.781,0.499,0
"SFPQ",0,0.914479769090405,0.886,0.653,0
"RPS8",0,0.581824884832916,1,1,0
"JUN",0,-0.824119041823356,0.231,0.53,0
"SERBP1",0,0.783873815809753,0.944,0.828,0
"SRSF11",0,0.665340635232356,0.831,0.6,0
"ZRANB2",0,0.69846672338941,0.82,0.53,0
"GNG5",0,0.931428153547885,0.902,0.697,0
"RPL5",0,0.559848940986811,1,1,0
"CSDE1",0,0.694682190888962,0.807,0.52,0
"MRPS21",0,0.611250612916113,0.869,0.656,0
"S100A6",0,1.03788017858267,0.915,0.754,0
"S100A4",0,1.06471178147695,0.954,0.843,0
"RPS27",0,0.658734577421459,1,1,0
"TPM3",0,0.711760789902589,0.927,0.806,0
"PRRC2C",0,0.645490330629249,0.808,0.587,0
"GLUL",0,0.757307128146086,0.744,0.456,0
"ARPC5",0,0.680386237724306,0.795,0.553,0
"CD46",0,0.603335667880138,0.58,0.244,0
"SRP9",0,0.789095127630833,0.875,0.671,0
"H3F3A",0,0.722919876897345,0.999,0.996,0
"TOMM20",0,0.712577347411335,0.904,0.707,0
"HNRNPU",0,0.797398608335568,0.886,0.691,0
"RPS7",0,0.660434792465101,1,1,0
"OST4",0,0.831579997688118,0.964,0.836,0
"RPS27A",0,0.471873754952083,1,1,0
"TMSB10",0,0.642045677754983,0.998,0.992,0
"MAT2A",0,0.647002945083807,0.645,0.333,0
"RPL31",0,-0.848865427694653,0.994,0.995,0
"LIMS1",0,0.917616112336354,0.779,0.472,0
"ACTR3",0,0.774422983906038,0.709,0.416,0
"MZT2B",0,0.656803778284687,0.964,0.887,0
"ZEB2",0,0.680779537694526,0.713,0.425,0
"ITGA4",0,0.681698510338693,0.741,0.461,0
"SF3B1",0,0.645910161253877,0.776,0.504,0
"HSPD1",0,0.955724606828652,0.926,0.763,0
"XRCC5",0,0.738806229423819,0.873,0.675,0
"NCL",0,1.04966637316022,0.961,0.842,0
"RPL32",0,0.540578060652225,1,1,0
"RPL14",0,0.68278039645176,1,1,0
"TMA7",0,0.762514028353794,0.974,0.905,0
"RHOA",0,0.660186780074816,0.927,0.804,0
"GNAI2",0,0.737384816518211,0.784,0.481,0
"RPL29",0,0.694825071931051,1,1,0
"TKT",0,0.84236344896226,0.937,0.749,0
"ARL6IP5",0,0.665466180422544,0.804,0.521,0
"MTRNR2L12",0,0.975224511623696,0.759,0.295,0
"RPL24",0,0.582556717464036,1,1,0
"CDV3",0,0.734476079727686,0.639,0.287,0
"MBNL1",0,0.611252743045976,0.732,0.46,0
"NDUFB5",0,0.610447723593437,0.825,0.584,0
"PAK2",0,0.603076783922255,0.675,0.376,0
"RPL35A",0,0.67708735269128,1,1,0
"BOD1L1",0,0.58647421482524,0.635,0.308,0
"CCNI",0,0.773500539561335,0.959,0.824,0
"BMP2K",0,0.635087544189901,0.505,0.187,0
"HNRNPD",0,0.801135100340125,0.859,0.65,0
"RPL34",0,0.474111901811786,1,1,0
"OSTC",0,0.772805205487451,0.903,0.708,0
"NDUFC1",0,0.794706555365757,0.781,0.478,0
"RPL37",0,0.791565129334953,1,1,0
"BTF3",0,0.494016603610049,0.999,0.998,0
"IQGAP2",0,0.642875361363744,0.771,0.482,0
"RPS23",0,0.527042503066013,1,1,0
"COX7C",0,0.589792666224308,0.996,0.978,0
"HINT1",0,0.532236318777469,0.999,0.998,0
"SKP1",0,0.671899391174438,0.957,0.87,0
"MATR3",0,0.766819190130647,0.836,0.577,0
"CLINT1",0,0.611598380770908,0.635,0.315,0
"NPM1",0,0.987591647190013,0.998,0.994,0
"ATP6V0E1",0,0.692505976285933,0.799,0.496,0
"HNRNPH1",0,0.869562849169511,0.786,0.462,0
"CANX",0,0.720921837801929,0.786,0.532,0
"RNF130",0,0.722962857852382,0.838,0.615,0
"GNB2L1",0,0.496508685949596,1,1,0
"SERPINB1",0,0.982611583278986,0.95,0.844,0
"CLIC1",0,0.892142797073368,0.985,0.933,0
"HSP90AB1",0,0.757521924313507,0.996,0.986,0
"PNISR",0,0.588144308584007,0.949,0.847,0
"CD164",0,0.721308841338311,0.798,0.535,0
"AMD1",0,0.736143262953132,0.771,0.481,0
"RPS12",0,0.536956252608805,1,1,0
"EIF3B",0,0.715626352020986,0.611,0.292,0
"CBX3",0,0.854337497527944,0.823,0.547,0
"MTURN",0,0.630327452685624,0.624,0.284,0
"SEPT7",0,0.719237749756297,0.895,0.697,0
"PPIA",0,0.760024147648621,0.997,0.979,0
"SEC61G",0,0.754381471520125,0.861,0.666,0
"GTF2I",0,0.610821745993251,0.743,0.452,0
"SRI",0,0.745218693792694,0.881,0.689,0
"CDK6",0,0.877449164383762,0.882,0.664,0
"SHFM1",0,0.659778839047151,0.904,0.747,0
"CAPZA2",0,0.655753111564957,0.692,0.39,0
"C7orf73",0,0.600532110921841,0.786,0.535,0
"RBM3",0,0.727059492693679,0.953,0.853,0
"XIST",0,-0.547065099558443,0.107,0.427,0
"ATRX",0,0.659122785328432,0.765,0.47,0
"SH3BGRL",0,0.746900918193129,0.922,0.727,0
"SLC25A5",0,0.907520674679831,0.958,0.859,0
"RPL39",0,0.792353857325354,1,1,0
"RPL10",0,0.461726417329144,1,1,0
"TMEM66",0,0.607655626713076,0.909,0.729,0
"PRKDC",0,0.907446008345027,0.712,0.422,0
"TCEA1",0,0.740076371870186,0.779,0.505,0
"RPS20",0,-1.17580450624175,0.973,0.985,0
"RPL7",0,-0.616910177264808,1,0.999,0
"C8orf59",0,0.647263625021684,0.886,0.692,0
"LAPTM4B",0,0.848109859240373,0.737,0.407,0
"RPL30",0,0.726316033303323,1,1,0
"COX6C",0,0.694597525306098,0.968,0.892,0
"PABPC1",0,0.790455155179277,0.981,0.917,0
"VPS28",0,0.602373506174255,0.818,0.587,0
"RPL8",0,0.571039542235348,1,1,0
"DNAJA1",0,0.750844034937463,0.767,0.519,0
"CLTA",0,0.738766161383383,0.9,0.696,0
"HNRNPK",0,0.646696602357891,0.942,0.843,0
"ANP32B",0,0.74281334670723,0.988,0.95,0
"PTBP3",0,0.594878086250834,0.567,0.246,0
"RPL35",0,0.547868872545774,1,1,0
"C9orf16",0,0.696125189418852,0.897,0.701,0
"SET",0,1.08630458244871,0.951,0.792,0
"RPL7A",0,0.720063848215018,1,1,0
"SNHG7",0,0.678513889894149,0.847,0.583,0
"ATP5C1",0,0.619893452562765,0.934,0.808,0
"HNRNPF",0,0.971324107571,0.825,0.526,0
"RPS24",0,0.559979009225472,1,1,0
"USMG5",0,0.747582015796895,0.875,0.683,0
"EIF3A",0,0.882968155772001,0.81,0.551,0
"TALDO1",0,0.652486498571482,0.978,0.922,0
"CD81",0,0.719390378213113,0.665,0.289,0
"TAF10",0,0.695713452804314,0.637,0.278,0
"EIF4G2",0,0.728228625431741,0.705,0.397,0
"RPS13",0,0.514723082766767,1,1,0
"LMO2",0,0.913198944019102,0.789,0.412,0
"C11orf31",0,0.744053974517508,0.921,0.789,0
"PPP1R14B",0,1.2114265152461,0.808,0.444,0
"FAU",0,0.593549870321004,1,1,0
"DRAP1",0,0.619132918982666,0.913,0.761,0
"ATP5L",0,0.584240022959906,0.993,0.969,0
"HSPA8",0,1.09951120428758,0.891,0.724,0
"PTMS",0,0.683614842214502,0.652,0.345,0
"LDHB",0,0.778514467220583,0.994,0.968,0
"EIF4B",0,0.781019334068157,0.88,0.631,0
"PFDN5",0,0.564172419846525,0.998,0.987,0
"PCBP2",0,0.763999877747786,0.866,0.625,0
"ATP5G2",0,0.69408943681389,0.997,0.983,0
"CD63",0,0.829967556693958,0.937,0.818,0
"RPS26",0,0.869986332711248,0.999,0.999,0
"RPL41",0,0.709429530698138,1,1,0
"PTGES3",0,0.843720302445668,0.937,0.806,0
"NACA",0,0.588866378122118,1,1,0
