"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",0,-0.78552377222217,0.203,0.47,0
"RPL22",0,0.70015668782577,0.979,0.945,0
"ERRFI1",0,0.806178936818415,0.54,0.253,0
"ENO1",0,2.02232704577874,0.977,0.688,0
"RBP7",0,-1.04880419766991,0.016,0.216,0
"ECE1",0,-0.492845197702927,0.029,0.303,0
"ID3",0,-2.15838523254353,0.344,0.7,0
"RPL11",0,0.931266308896104,0.997,0.994,0
"HMGN2",0,0.642266933787736,0.855,0.663,0
"MARCKSL1",0,-0.934491824826665,0.07,0.458,0
"TMEM54",0,0.423267157085298,0.342,0.113,0
"EVA1B",0,-0.52149575140834,0.046,0.305,0
"NDUFS5",0,0.491376832381684,0.889,0.741,0
"CITED4",0,0.596543566647411,0.398,0.15,0
"SLC2A1",0,0.472604960589648,0.32,0.06,0
"RPS8",0,1.05996212114434,0.996,0.986,0
"PIK3R3",0,-0.405255867607525,0.013,0.218,0
"CRYZ",0,0.39274598887803,0.483,0.205,0
"GBP4",0,-0.548554464219617,0.04,0.266,0
"RPL5",0,0.682808421520231,0.983,0.956,0
"VCAM1",0,0.838120846416889,0.447,0.196,0
"S1PR1",0,-0.27987025543314,0.005,0.149,0
"PLEKHO1",0,-0.327839269382757,0.008,0.191,0
"C1orf54",0,-0.437522298251798,0.018,0.265,0
"S100A10",0,2.05506456517671,0.994,0.63,0
"S100A11",0,1.06594263870414,0.926,0.74,0
"S100A6",0,0.825886304520635,0.94,0.732,0
"S100A13",0,0.965787115138421,0.804,0.442,0
"RPS27",0,1.15583780039663,1,0.997,0
"PMVK",0,0.49855855024758,0.536,0.256,0
"SSR2",0,0.667408761376332,0.798,0.58,0
"DUSP23",0,0.51835137233648,0.604,0.336,0
"TSTD1",0,0.773453880116694,0.67,0.197,0
"MGST3",0,0.592658478950612,0.927,0.818,0
"MPC2",0,0.741090452699789,0.769,0.453,0
"ATP1B1",0,1.56549092095339,0.867,0.367,0
"PRDX6",0,0.588988208515699,0.84,0.624,0
"RASAL2",0,-0.392161952283825,0.048,0.268,0
"RGS16",0,-1.46923749035677,0.037,0.339,0
"CSRP1",0,-0.600432935520351,0.147,0.377,0
"SNRPE",0,0.693151081525153,0.769,0.469,0
"NENF",0,0.496654663194424,0.732,0.511,0
"SMYD2",0,0.342834841235993,0.286,0.082,0
"RNF187",0,0.571903503772501,0.558,0.299,0
"RPS7",0,0.667279807219842,0.996,0.981,0
"HPCAL1",0,0.922471839500779,0.678,0.263,0
"LAPTM4A",0,0.683982029238389,0.929,0.835,0
"KHK",0,0.422527646924693,0.522,0.213,0
"LBH",0,-0.749614095240265,0.056,0.377,0
"EPAS1",0,-1.78846042625874,0.165,0.703,0
"SPTBN1",0,-0.809211123851412,0.313,0.551,0
"RPS27A",0,0.792278715831817,0.999,0.996,0
"ANXA4",0,1.98618997661964,0.901,0.38,0
"MTHFD2",0,-0.376429278213329,0.031,0.202,0
"TMSB10",0,1.4342916263421,0.999,0.949,0
"CAPG",0,0.926009420279444,0.612,0.165,0
"VAMP8",0,0.800103019837307,0.777,0.343,0
"MAL",0,0.26167979718991,0.309,0.078,0
"COX5B",0,0.487815317541883,0.935,0.821,0
"RPL31",0,1.21799127864282,0.99,0.914,0
"RNF149",0,0.466071114332458,0.381,0.11,0
"INSIG2",0,0.486627038285669,0.396,0.108,0
"MZT2B",0,1.18025959695138,0.932,0.621,0
"MZT2A",0,0.854942185581058,0.675,0.259,0
"DARS",0,0.898141506220834,0.72,0.316,0
"TNFAIP6",0,0.822304089930554,0.314,0.031,0
"NR4A2",0,-0.742172584279781,0.07,0.328,0
"RBMS1",0,-0.53499514734609,0.168,0.435,0
"DPP4",0,0.490446362402033,0.393,0.109,0
"EEF1B2",0,0.583621433469919,0.898,0.775,0
"FN1",0,-1.5931451926955,0.038,0.471,0
"RPL37A",0,1.1316619856395,0.996,0.98,0
"ITM2C",0,-1.05523869327704,0.108,0.392,0
"SH3BP5",0,-0.808713513624326,0.05,0.345,0
"TGFBR2",0,-1.26461804052376,0.048,0.377,0
"SNRK",0,-0.368644396414144,0.055,0.253,0
"TMA7",0,-0.527548320767069,0.622,0.801,0
"GNAI2",0,-0.785205239266284,0.176,0.479,0
"HYAL2",0,-1.11566225353858,0.045,0.391,0
"FILIP1L",0,-0.818700341812274,0.029,0.309,0
"RPL24",0,0.865827007840181,0.994,0.963,0
"FAM162A",0,0.571672428126239,0.654,0.404,0
"HEG1",0,-0.514136096578018,0.02,0.233,0
