"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD9",0,1.01862104673623,0.63,0.231,0
"CP",0,1.24251767275973,0.383,0.078,0
"MECOM",0,1.20513265233687,0.559,0.121,0
"DSP",0,0.825215641872385,0.456,0.12,0
"WFDC2",0,1.99398495255167,0.668,0.162,0
"MSLN",0,0.731718530021222,0.368,0.056,0
"EPCAM",0,1.3311625945033,0.583,0.104,0
"CLU",0,2.04582469588982,0.728,0.333,0
"SLPI",0,1.41090864437318,0.509,0.098,0
"PAX8",0,1.06807672599464,0.548,0.09,0
"B2M",0,-0.961121801204789,0.809,0.973,0
"SPINT2",0,1.12318715266517,0.621,0.161,0
"UGT2B7",0,1.16087621421335,0.361,0.057,0
"MUC1",0,0.858743164473515,0.392,0.066,0
"CLDN4",0,0.986358745312245,0.414,0.057,0
"PAX8.AS1",0,1.13289029825314,0.552,0.089,0
"AC024230.1",0,1.38390345079946,0.468,0.1,0
"C1orf186",0,1.8070799795701,0.603,0.141,0
"ELF3",0,1.21872433014396,0.454,0.068,0
"CLDN3",0,0.894830033170185,0.402,0.064,0
"EMX2",2.17275537189595e-303,0.649634947628748,0.366,0.066,3.48531689205829e-299
"TMSB4X",1.45408655242444e-302,-0.924862419285106,0.715,0.943,2.33250023874404e-298
"CD24",3.37862892287554e-302,0.911324092725927,0.378,0.074,5.41965865518465e-298
"PTPRC",1.57486480591581e-297,-1.03335852263619,0.038,0.35,2.52624063516956e-293
"COL1A1",7.62061756793579e-274,-3.05025757751025,0.194,0.489,1.22242326407258e-269
"RPL35A",1.76608124663515e-273,1.21301750363713,0.94,0.907,2.83297092772745e-269
"MEIS1",6.20877154497805e-272,1.00362429386562,0.543,0.215,9.9594904352993e-268
"KRT7",3.50421774485729e-268,0.78374789366288,0.305,0.047,5.62111568452557e-264
"SRGN",2.21144415624472e-267,-1.39078265328927,0.1,0.405,3.54737757103216e-263
"CRIP2",9.01793161156869e-265,0.607138124287513,0.449,0.137,1.44656640981173e-260
"PRAME",4.61615249562817e-264,0.507543028337383,0.328,0.059,7.40477021823715e-260
"LINC00621",8.95749846164704e-264,1.6770103103304,0.337,0.071,1.4368723282328e-259
"UBE2D2",9.61231001175822e-263,1.15853506642786,0.605,0.303,1.54191064898614e-258
"LUM",2.56641085870514e-259,-1.92667461735896,0.067,0.356,4.11677965844891e-255
"RGS1",3.85956619798266e-257,-1.75058084719304,0.043,0.321,6.19113013818399e-253
"SLC2A3",1.21621084052952e-256,-0.971005050560868,0.12,0.438,1.95092380929341e-252
"CXXC5",6.11594032020659e-253,0.608740215543952,0.416,0.122,9.81057986764338e-249
"HSP90AB1",2.75026114644038e-251,0.958536938167992,0.932,0.821,4.41169390500501e-247
"FOLR1",3.63239297832712e-251,0.5978255579958,0.285,0.042,5.82672157653454e-247
"BEX2",6.84986620077654e-251,0.561735290034386,0.308,0.055,1.09878703726657e-246
"SPARCL1",7.35294726492671e-250,-1.90477823871408,0.08,0.362,1.17948627076689e-245
"DMKN",2.84035031296106e-249,0.60116233749945,0.386,0.102,4.55620593702083e-245
"S100A13",1.70965257663253e-247,0.798939366662217,0.518,0.203,2.74245369817625e-243
"COL3A1",2.28793644323418e-245,-3.00155810388838,0.235,0.5,3.67007884859194e-241
"KRT18",1.55662602446171e-244,0.743342392834343,0.489,0.172,2.49698380583903e-240
"MUC16",4.66153921091817e-241,0.942435705332612,0.278,0.045,7.47757504823383e-237
"DCN",3.29103761902934e-238,-2.03941187182683,0.155,0.449,5.27915344468496e-234
"ZEB2",7.96339574131932e-234,-0.640521199644263,0.025,0.278,1.27740831086503e-229
"BCAM",1.68461901562242e-233,0.5079153122778,0.303,0.058,2.70229736295992e-229
"PRKCI",7.05972484499405e-231,0.878976040866939,0.475,0.186,1.1324504623855e-226
"ESR1",6.36404221478249e-230,1.07834949220568,0.431,0.159,1.02085601167326e-225
"LAPTM4B",7.12146534788587e-229,0.763131060639704,0.409,0.132,1.14235425645437e-224
"PATJ",2.03095236636751e-228,0.746699132583226,0.433,0.151,3.25785069089013e-224
"C19orf33",5.49953038894694e-226,0.432377888069863,0.252,0.034,8.82179669690979e-222
"TNNT1",1.34895106338256e-225,0.555983752445791,0.27,0.042,2.16385240077196e-221
"GAS5",3.84799321172851e-223,1.0246791238395,0.705,0.456,6.17256591093371e-219
"KRT19",7.77375062077666e-223,0.824179987739827,0.37,0.105,1.24698733707878e-218
"EMX2OS",6.78322364719691e-221,0.43448756433288,0.28,0.051,1.08809690524686e-216
"GNGT1",8.3100809958624e-221,0.760133973982046,0.439,0.158,1.33302009254629e-216
"COL6A3",1.88018645197625e-220,-1.24864506034773,0.085,0.351,3.01600708761511e-216
"AC011483.2",4.53157109229164e-215,0.693807334967323,0.244,0.035,7.26909318914502e-211
"PCP4",3.22462544890121e-209,0.59416836831811,0.24,0.034,5.17262168258243e-205
"AC097103.2",1.94647024241329e-208,0.650327000065904,0.373,0.118,3.12233291585516e-204
"MAL2",6.04954911887387e-206,0.43673970617715,0.252,0.041,9.70408174158558e-202
"PLCB1",4.06818019118223e-205,0.725367150773141,0.494,0.211,6.52576784467541e-201
"BEX3",1.08930026043697e-204,0.694914541098822,0.652,0.348,1.74734654776695e-200
"CHODL",1.23378183047761e-204,0.637488422877658,0.256,0.046,1.97910943426913e-200
