"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GSTP1",0,2.72026047294569,0.957,0.529,0
"KRT15",0,9.29246503957243,0.579,0.016,0
"ANXA8",0,6.11568959800118,0.521,0.016,0
"KRTCAP3",0,5.07112851748583,0.428,0.008,0
"TACSTD2",0,6.27766128030929,0.859,0.048,0
"PKP3",0,5.57203438794013,0.603,0.008,0
"DSP",0,5.9875694025278,0.87,0.043,0
"ESRG",0,3.85408374903827,0.816,0.314,0
"VSNL1",0,5.8219124630393,0.558,0.02,0
"DSC3",0,5.53594020248785,0.858,0.518,0
"ST6GALNAC2",0,5.04300932832325,0.469,0.011,0
"KRT5",0,10.08476267244,0.918,0.081,0
"CBR1",0,3.14865691971827,0.787,0.206,0
"CSTA",0,4.85570041791568,0.522,0.017,0
"LAMB3",0,7.12019128908243,0.723,0.032,0
"KRT8",0,6.91330213099172,0.704,0.107,0
"ITGB8",0,4.01944312415401,0.82,0.361,0
"CERS3",0,5.71970432413431,0.464,0.003,0
"FSCN1",0,1.61246999595809,0.75,0.158,0
"KRT6C",0,7.60214653713008,0.726,0.022,0
"LAD1",0,4.58871376504757,0.639,0.016,0
"KRT18",0,4.12225176547055,0.807,0.129,0
"TM4SF1",0,1.70555803087405,0.807,0.15,0
"CLDN1",0,5.38943622551238,0.492,0.023,0
"NME1",0,2.11440713000039,0.76,0.192,0
"IRF6",0,5.79270835522252,0.729,0.099,0
"S100A14",0,7.06841142682514,0.565,0.013,0
"CLCA2",0,8.04680898641403,0.695,0.014,0
"SLC7A8",0,5.01061773314161,0.694,0.077,0
"GPR87",0,7.19379994072277,0.469,0.002,0
"HMGA1",0,2.42357273293476,0.735,0.124,0
"TMPRSS4",0,6.06929277331302,0.429,0.003,0
"LYPD3",0,5.33430630550869,0.615,0.027,0
"LAMA3",0,4.89543012136881,0.592,0.073,0
"CA12",0,2.70099316569937,0.643,0.086,0
"KRT16",0,7.68410034538432,0.67,0.041,0
"KLF5",0,4.08181177231661,0.692,0.035,0
"CSTB",0,2.10631789256172,0.872,0.325,0
"PTHLH",0,5.30021394224065,0.52,0.029,0
"VIM",0,-4.15335079159282,0.228,0.788,0
"CD9",0,2.17214644020755,0.96,0.47,0
"KRT6A",0,8.90107904411918,0.857,0.096,0
"C16orf74",0,4.70661171415188,0.416,0.01,0
"SDC1",0,4.11201122901308,0.834,0.075,0
"TFAP2C",0,2.75008425201011,0.701,0.056,0
"MIR205HG",0,8.16120123210167,0.844,0.031,0
"HOXD11",0,3.69388382763421,0.401,0.002,0
"CXADR",0,5.40781431933108,0.898,0.654,0
"FABP5",0,4.07062290174441,0.746,0.204,0
"SLC2A1",0,4.31833330337956,0.832,0.167,0
"EPCAM",0,11.229117358681,0.469,0.009,0
"KRT19",0,8.02233687085397,0.886,0.051,0
"DHCR24",0,3.72447886461691,0.671,0.066,0
"MPZL2",0,2.31728242395368,0.619,0.055,0
"PKP1",0,6.26916693963318,0.762,0.012,0
"GJB3",0,6.94500566045809,0.455,0.004,0
"S100A11",0,2.11063762008765,0.957,0.595,0
"CDH1",0,5.4250718084117,0.789,0.218,0
"CALML3",0,8.41764178744321,0.699,0.008,0
"SPINT1",0,3.75496346289629,0.567,0.038,0
"DSG3",0,6.90642546329995,0.896,0.516,0
"F11R",0,3.14927211318084,0.942,0.797,0
"TXN",0,1.97662272558979,0.937,0.492,0
"DDR1",0,4.559088610468,0.779,0.043,0
"FXYD3",0,7.84115056629001,0.901,0.013,0
"TP63",0,6.50047993712851,0.811,0.025,0
"WDR66",0,5.19420422298011,0.657,0.085,0
"LGALS7B",0,7.54492427489212,0.573,0.007,0
"GJB5",0,6.67857955318145,0.394,0.002,0
"SOX15",0,5.62595771152665,0.64,0.032,0
"ANXA2",0,2.16729692019634,0.969,0.682,0
"GJB6",0,7.26017837662424,0.412,0.008,0
"SFN",0,7.97454352289616,0.845,0.019,0
"COL17A1",0,7.29900995606324,0.563,0.026,0
"KRT6B",0,7.40345369709078,0.597,0.037,0
"IL20RB",0,5.73361507504464,0.43,0.013,0
"TXNDC17",0,2.40314109919416,0.73,0.174,0
"ANXA8L2",0,6.71864857909296,0.573,0.003,0
"PERP",0,4.38538377519166,0.955,0.194,0
"S100A16",0,3.26726054568961,0.825,0.153,0
"FGFBP1",0,7.7642580302534,0.397,0.003,0
"LGALS7",0,8.1366069123847,0.612,0.004,0
"PVRL1",0,3.05320635027434,0.472,0.029,0
"CLDN4",0,7.97924499052355,0.473,0.008,0
"TENM2",0,4.083022914808,0.473,0.02,0
"SERINC2",0,3.41229202314037,0.547,0.054,0
"ALDH3A1",0,9.32041491297821,0.426,0.007,0
"GJB2",0,6.13273997950016,0.546,0.031,0
"SPINT2",0,4.29209270014465,0.901,0.088,0
"GALNT3",0,3.59564120528948,0.485,0.029,0
"KLK8",0,7.41534664166348,0.493,0.002,0
"COL7A1",0,2.70806691088502,0.641,0.077,0
"IFI27",0,3.45515441467968,0.902,0.27,0
"ESRP1",0,5.59809647031471,0.548,0.006,0
"JUP",0,4.28777548219712,0.84,0.086,0
"PTPRZ1",0,4.57053306847256,0.46,0.018,0
"ITGB4",0,4.53787703322616,0.724,0.054,0
"DSC2",0,5.45548174812494,0.687,0.024,0
"GRHL2",0,4.96988431573862,0.768,0.008,0
"KRT14",0,9.77854899723975,0.878,0.183,0
"GPC1",0,2.61064448626371,0.538,0.055,0
"TRIM29",0,7.1975267252045,0.717,0.011,0
"KRT17",0,10.1948093983261,0.917,0.104,0
"ITGA6",0,2.55367857957786,0.751,0.093,0
"CDH3",0,7.03466375313587,0.7,0.02,0
"PTPRF",0,4.50082293851468,0.787,0.053,0
"S100A2",0,8.7210403511846,0.717,0.037,0
"TFAP2A",0,3.21151381668955,0.611,0.027,0
"MAGEA4",0,8.09645806598898,0.532,0.005,0
"EHF",0,5.35568163384921,0.499,0.011,0
"SERPINB5",0,8.63509454091422,0.745,0.016,0
"ATP1B1",0,2.78814812584452,0.892,0.258,0
"AKR1C2",0,6.12060361131555,0.495,0.042,0
"PLEK2",0,4.80232850853471,0.423,0.013,0
"ANXA8L1",0,7.66707528906818,0.58,0.003,0
"CELSR1",0,3.06026688879301,0.48,0.028,0
"C19orf33",0,5.53128885659142,0.501,0.006,0
"BCL11A",0,3.2408404363909,0.651,0.051,0
"RBP1",2.74506069019814e-305,4.20821680117098,0.726,0.272,5.90709609923739e-301
"MIF",1.15852872059885e-303,1.85334594574104,0.974,0.726,2.49303795385666e-299
