"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PLEKHN1",0,0.304821454868775,0.198,0.021,0
"HES4",0,1.28830486625281,0.493,0.098,0
"AGRN",0,1.20545010807075,0.556,0.068,0
"RP11-465B22.8",0,0.265155819210088,0.163,0.011,0
"DVL1",0,0.442560827250542,0.304,0.072,0
"AURKAIP1",0,1.23407485362518,0.747,0.472,0
"VWA1",0,0.527643176594307,0.311,0.041,0
"SSU72",0,0.811635467140259,0.675,0.447,0
"MMP23B",0,0.750326153230912,0.335,0.049,0
"PRKCZ",0,0.378316604661949,0.272,0.046,0
"RER1",0,0.850745877474529,0.703,0.438,0
"FAM213B",0,0.385271664216141,0.268,0.061,0
"MMEL1",0,0.29127437117824,0.169,0.017,0
"ARHGEF16",0,0.434028798482288,0.267,0.014,0
"TPRG1L",0,0.646769523774835,0.455,0.145,0
"KLHL21",0,0.68544355848683,0.382,0.103,0
"CAMTA1",0,0.815812955072282,0.635,0.318,0
"VAMP3",0,0.650568165398304,0.567,0.258,0
"ERRFI1",0,0.896531260655361,0.523,0.126,0
"CLSTN1",0,0.7292171040351,0.552,0.197,0
"CASZ1",0,0.348497603228839,0.232,0.034,0
"FBXO2",0,0.622449720734454,0.293,0.038,0
"TNFRSF1B",0,-1.02938613698121,0.077,0.41,0
"DHRS3",0,0.789791514218193,0.573,0.206,0
"EFHD2",0,0.926862135549125,0.761,0.493,0
"FBLIM1",0,0.546273041492567,0.368,0.067,0
"EPHA2",0,0.974815703591847,0.462,0.031,0
"PADI1",0,0.270165419281442,0.117,0.006,0
"UBR4",0,0.738404021718822,0.542,0.234,0
"AKR7A3",0,1.07956926675107,0.341,0.024,0
"NBL1",0,1.39886044689,0.717,0.113,0
"CAMK2N1",0,2.75242949266432,0.892,0.117,0
"CDA",0,1.32172308647478,0.442,0.126,0
"PINK1",0,0.766815125710305,0.472,0.175,0
"RAP1GAP",0,0.26654475523977,0.153,0.012,0
"HSPG2",0,0.854996398727831,0.509,0.093,0
"LYPLA2",0,0.506802524284444,0.426,0.184,0
"GALE",0,0.958316052617455,0.522,0.081,0
"HMGCL",0,0.432801455364174,0.395,0.157,0
"IL22RA1",0,0.282479780037842,0.171,0.008,0
"SYF2",0,0.81264104350375,0.795,0.535,0
"TMEM50A",0,1.1529181784201,0.808,0.522,0
"ZNF593",0,0.912481200989749,0.539,0.19,0
"CNKSR1",0,0.459287575387426,0.299,0.022,0
"CD52",0,-2.18036775185863,0.04,0.487,0
"AIM1L",0,0.276494395709695,0.173,0.011,0
"SFN",0,2.70346018272623,0.716,0.045,0
"NUDC",0,1.19035440481874,0.705,0.386,0
"C1orf172",0,0.261341586878584,0.173,0.007,0
"TRNP1",0,0.934459138997589,0.366,0.031,0
"SLC9A1",0,0.530660666365467,0.346,0.089,0
"TMEM222",0,0.399429416574563,0.357,0.127,0
"IFI6",0,1.00610453467865,0.581,0.307,0
"ATPIF1",0,1.03325525818479,0.765,0.55,0
"SNHG12",0,0.874982495105745,0.52,0.265,0
"PTPRU",0,0.385050140780958,0.224,0.016,0
"LAPTM5",0,-2.42648830861576,0.041,0.665,0
"SERINC2",0,2.33883609378105,0.853,0.108,0
"TINAGL1",0,2.28799442480603,0.777,0.071,0
"COL16A1",0,0.426631617252963,0.281,0.043,0
"PTP4A2",0,0.86143177627073,0.804,0.58,0
"MARCKSL1",0,1.89316157089634,0.765,0.217,0
"KIAA1522",0,1.02744383159953,0.552,0.06,0
"TMEM54",0,1.63552664115889,0.708,0.065,0
"AK2",0,0.490780531313077,0.478,0.213,0
"GJB4",0,0.463768301541582,0.219,0.008,0
"GJB3",0,0.598850341811436,0.295,0.011,0
"PSMB2",0,0.945623673479382,0.67,0.366,0
"MEAF6",0,0.659329066367034,0.581,0.324,0
