"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBP7",0,-1.60421484463547,0.009,0.33,0
"TNFRSF1B",0,-0.800215389952386,0.006,0.42,0
"THEMIS2",0,-0.499799125733865,0.003,0.25,0
"LAPTM5",0,-2.0857131703052,0.024,0.635,0
"TINAGL1",0,-1.57913662649292,0.045,0.405,0
"FAM167B",0,-1.07306333080604,0.004,0.323,0
"GJA4",0,-1.61732512676027,0.008,0.396,0
"TIE1",0,-1.15105334621968,0.006,0.386,0
"ELTD1",0,-1.98962877898638,0.008,0.482,0
"GBP2",0,-0.61853979350973,0.027,0.358,0
"S1PR1",0,-0.655209415836888,0.012,0.323,0
"CD53",0,-0.596703019613821,0.002,0.242,0
"C1orf162",0,-0.869379831582841,0.005,0.267,0
"ECM1",0,-0.529890925132818,0.004,0.251,0
"NPR1",0,-0.463937707125551,0.002,0.225,0
"SHE",0,-0.445729073860509,0.002,0.217,0
"PEAR1",0,-0.409071693213938,0.004,0.218,0
"MNDA",0,-0.889335725336124,0.002,0.216,0
"ADAMTS4",0,-1.15112444853381,0.016,0.376,0
"FCER1G",0,-2.30750510306827,0.023,0.36,0
"FCGR2A",0,-1.34309715938627,0.006,0.306,0
"FCGR3A",0,-1.08927521609592,0.004,0.24,0
"OLFML2B",0,-1.17643126786021,0.026,0.354,0
"RCSD1",0,-0.463516768285246,0.006,0.266,0
"FAM129A",0,-0.61933169282239,0.016,0.297,0
"RGS1",0,-2.14781024404821,0.016,0.325,0
"PTPRC",0,-0.636318704471431,0.004,0.242,0
"CD34",0,-2.13139408000497,0.013,0.437,0
"RASGRP3",0,-0.849106895757467,0.01,0.359,0
"EPAS1",0,-1.71304409048475,0.06,0.54,0
"PLEK",0,-1.07775991518147,0.004,0.254,0
"ARHGAP15",0,-0.637597608536214,0.003,0.342,0
"TNFAIP6",0,-0.603595342748601,0.003,0.217,0
"ITGA6",0,-1.22968225322492,0.029,0.42,0
"CALCRL",0,-1.24978877670575,0.033,0.411,0
"SDPR",0,-1.84233761982459,0.033,0.367,0
"ARL4C",0,-1.18895905596545,0.032,0.45,0
"TGFBR2",0,-1.38230536781412,0.055,0.541,0
"CCRL2",0,-0.38677995023959,0.001,0.201,0
"STAB1",0,-0.819438872186287,0.006,0.379,0
"HCLS1",0,-0.85243951861718,0.021,0.451,0
"CD86",0,-0.556213989832224,0.001,0.192,0
"MYLK",0,-1.17087767359403,0.016,0.41,0
"TM4SF18",0,-1.51916687866364,0.004,0.407,0
"TNFSF10",0,-1.18827816598927,0.015,0.43,0
"APOD",0,-0.860185155636298,0.005,0.233,0
"LDB2",0,-1.12509374695242,0.037,0.441,0
"KDR",0,-0.906113787596449,0.006,0.313,0
"SPARCL1",0,-3.40514619662877,0.03,0.614,0
"GPRIN3",0,-0.539177794182539,0.006,0.254,0
"SNCA",0,-0.435422112580761,0.002,0.217,0
"EMCN",0,-1.63761597156335,0.009,0.422,0
"CFI",0,-0.696431054693287,0.002,0.26,0
"C4orf32",0,-0.793805429935725,0.03,0.358,0
"GUCY1A3",0,-0.590491583984859,0.005,0.24,0
"FAM198B",0,-1.3192289055492,0.007,0.482,0
